Name,Referral method,Opening times,Address,Postcode,Contact,Website,Area name,Area code,marker-color,marker-size
Trussell Trust,Foodbank Voucher,"Tues , Wed, Thursday, 11am - 2pm and Friday 11am - 4pm","The Three Crowns Centre
1-3 Manchester Street
Oldham",OL1 1LE,andrew@oldham.foodbank.org.uk,http://oldham.foodbank.org.uk/,Oldham,E08000004,#fc6721,medium
Trussell Trust,Foodbank Voucher,Monday 11am - 2pm,"Salvation Army. Shaw, Oldham",OL2 8QY,andrew@oldham.foodbank.org.uk,http://oldham.foodbank.org.uk/,Oldham,E08000004,#fc6721,medium
Trussell Trust,Foodbank Voucher,Monday 11am - 2pm,"South Chadderton Methodist Church, Thompson Lane, Chadderton",OL9 8LX,andrew@oldham.foodbank.org.uk,http://oldham.foodbank.org.uk/,Oldham,E08000004,#fc6721,medium
Trussel Trust Oldham,Foodbank Voucher,"Tuesday, Wednesday and Thursday 11am - 2pm, Friday 11am - 4pm","The Three Crowns Centre, 1-3 Manchester Street, Oldham",OL1 1LE,andrew@oldham.foodbank.org.uk 0161 622 1061,https://www.trusselltrust.org/get-help/find-a-foodbank/oldham/,Oldham,E08000004,#fc6721,medium
Heywood ST Vincent de Paul Society Food Bank,Assessment,Appointment,"6 Bethel Street, Heywood",OL10 1HU,O1706 369 777,http://svp.org.uk,Rochdale,E08000005,#fc6721,medium
Petrus Day Centre,Assessment,9 - 4 weekdays except Wed 9 - 2,"73 Great George Street, Rochdale",OL16 1QG,01706 526289,http://www.petrus.org.uk/,Rochdale,E08000005,#fc6721,medium
Salvation Army Rochdale,Not known,NA,"Newgate, Rochdale",OL16 1AW,rochdale@salvationarmy.org.uk,http://www.salvationarmy.org.uk/rochdale,Rochdale,E08000005,#fc6721,medium
Trussell Trust,Foodbank Voucher,Monday and Thursday 11am - 1pm,"Unit S6b/c Middleton Shopping Centre, Limetrees Road, Middleton",M24 4EL,info@middletoncentral.foodbank.org.uk,http://middletoncentral.foodbank.org.uk/,Rochdale,E08000005,#fc6721,medium
Trussell Trust,Foodbank Voucher,Monday - Friday 11am - 12:45pm,"8 South Parade, Rochdale",OL16 1LR,info@rochdale.foodbank.org.uk,http://rochdale.foodbank.org.uk/,Rochdale,E08000005,#fc6721,medium
L'Chaim-Chabad,Not known,Not known,"42 Singleton Road, Salford",M7 4LN,foodbank@lchaim.org.uk,http://lchaimfoodbank.co.uk/,Salford,E08000006,#fc6721,medium
Mustard Tree,Food Club,"Monday - Friday 10am - 4pm except Thursday 10 - 12 only Food Club £2 for 10 items for people on pension/benefits ‘Approaching Crisis’ should be signposted to our Food Club and advised to bring proof of pension/benefit status. Families in “in work poverty” can be referred to Food Club via the CAB drop-in at Mustard Tree Little Hulton on Tuesdays, 10am-2pm

‘In Crisis’ - Full referral for a food parcel via our website - www.mustardtree.org.uk - a hard copy given to the client plus emailed to us.","50 Hulton District Centre, Little Hulton, Salford",M28 0AU,Salford.referrals@mustardtree.org.uk,www.mustardtree.org.uk,Salford,E08000006,#fc6721,medium
Mustard Tree,Food Club,"Weekdays 10am-4pm and Saturdays 10am-2pm Food Club £2 for 10 items for people on pension/benefits 
‘Approaching Crisis’ should be signposted to our Food Club and advised to bring proof of pension/benefit status.  Families in “in work poverty” can be referred to Food Club via the CAB drop-in at Eccles Gateway

‘In Crisis’ - Full referral for a food parcel via our website - www.mustardtree.org.uk - a hard copy given to the client plus emailed to us.","15 Southway, Eccles, Salford",M30 0LJ,Salford.referrals@mustardtree.org.uk,www.mustardtree.org.uk,Salford,E08000006,#fc6721,medium
Rainbow Haven,Meals Only,Wednesday 10am - 3pm,"The Emmanuel Centre, 174 Langworthy Road, Salford",M6 5PN,finance.rainbowhaven@yahoo.co.uk,http://www.rainbowhaven.org.uk,Salford,E08000006,#fc6721,medium
Trussell Trust,Foodbank Voucher,Tuesday 10:30am - 1pm,"Wharton & Clegg's Lane Church & Community Centre, Clegg's Lane, Little Hulton, Salford",M38 9RW,info@farnworthkearsley.foodbank.org.uk,http://farnworthkearsley.foodbank.org.uk/,Salford,E08000006,#fc6721,medium
Trussell Trust,Foodbank Voucher,Mondays & Wednesdays 1pm - 3pm,"The Sanctuary Centre, Dallas Court, Salford Quays",M50 2GF,info@salfordcentral.foodbank.org.uk,http://salfordcentral.foodbank.org.uk/,Salford,E08000006,#fc6721,medium
Trussell Trust,Foodbank Voucher,Tuesdays & Fridays 1pm - 3pm,"Mocha Parade Centre, Christ Central, Salford",M7 1QE,info@salfordcentral.foodbank.org.uk,http://salfordcentral.foodbank.org.uk/,Salford,E08000006,#fc6721,medium
Salford Unemployed & Community Resource Centre,Not known,Not known,"84 - 86 Liverpool Road, Eccles",M30 0WZ,secretary_stuc@hotmail.co.uk 0161 789 2999,http://www.salforducrc.co.uk/index,Salford,E08000006,#fc6721,medium
Audacious A Teams,Food & support for homeless & sex workers,"Monday - Friday 10am - 4pm Free hot meal on Tuesday evening, 7.30 - 9.30pm","Audacious Church, Trinity Way, Manchester",M3 7BB,info@audaciouschurch.com 0161 830 7000,https://audaciouschurch.com/a-teams/,Salford,E08000006,#fc6721,medium
"Emmaus Salford, Lucie's Pantry",Membership £2.50 per week for £15 worth of groceries based on need and geography also available is a regular CAB Surgery,No opening times are advertised.  Please check with Emmaus Salford,"Emmaus House, 101 Fitzwarren Street, Salford",M6 5RQ,0161 737 8279 or email simonlocke.emmaussalford@gmail.com,https://www.emmaus.org.uk/salford/luciespantry,Salford,E08000006,#fc6721,medium
Coffee4Craig Food Bank,No evidence needed,24/7 upon request (need to arrange for one of our team to meet you there),"The Woolpack. Belvedere Road, Salford Pendleton",M6 5HE,hendrix@coffee4craig.co.uk / dee.lowry@coffee4craig.co.uk / 07543590330,www.coffee4craig.co.uk,Salford,E08000006,#fc6721,medium
Trussell Trust Eccles,Foodbank Voucher,Friday 11am - 1pm,"Connect Church, Mather Avenue Entrance",M30 0UG,info@salfordcentral.foodbank.org.uk,http://salford.foodbank.org.uk,Salford,E08000006,#fc6721,medium
The Trussell Trust: Irlam & Cadishead,Foodbank vouchers,"New foodbank, opening times TBC","Boundary Road Methodist Church, Boundary Road, Irlam",M44 6HD,info@irlamcadishead.foodbank.org.uk,https://irlamcadishead.foodbank.org.uk,Salford,E08000006,#fc6721,medium
Salford Food Parcel Project,"In partnership with the Red Cross, Salford Food Parcels provides a food parcel to destitute asylum seeking people in the local area. ","Wednesday 10am - 12noon.  (Make Lunch runs during the school holidays: a two course hot meal and fun in the afternoon to children who are in receipt of Free School Meals 11-1pm, please call us on 0161 736 7644 for more information.)","Lifecentre Salford, 219 Langworthy Road, Salford",M6 5PW,lifecentreonline@gmail.com,http://lifecentre.org.uk/food-parcel-project,Salford,E08000006,#fc6721,medium
Chelwood Foodbank Plus,Not known,Friday 2pm - 4.30pm,"Rev320 Charity Shop, 22 St Petersgate, Stockport",SK1 1HD,Not known,http://www.chelwoodfoodbankplus.org/opening-times/,Stockport,E08000007,#fc6721,medium
Chelwood Foodbank Plus,Not known,Wed 1pm - 3pm,"Brinnington Community Church, Northumberland Road, Brinnington, Stockport",SK5 8LS,info@chelwoodfoodbankplus.org,http://www.chelwoodfoodbankplus.org/opening-times/,Stockport,E08000007,#fc6721,medium
Chelwood Foodbank Plus,Not known,Tues/Weds 10am - 12pm. Thurs 10am - 2pm,"Chelwood Baptist Church, Adswood Road, Cheadle Hulme, Stockport",SK8 5QA,info@chelwoodfoodbankplus.org,http://www.chelwoodfoodbankplus.org/opening-times/,Stockport,E08000007,#fc6721,medium
The Wellspring,Not known,Monday - Thursday 11:30am - 2pm and Monday - Thursday 5pm - 8pm,"Harvey Street, Stockport",SK1 1YD,thewellspring@btconnect.com,http://www.thewellspring.btck.co.uk/,Stockport,E08000007,#fc6721,medium
Trussell Trust,Foodbank Voucher,Closed during August 2017. Please go to the Hazel Grove distribution centre. Mon- Thursday 10 - 12noon (term-time only),"Drop-in centre at GLO Church, Hexham Close, Offerton",SK2 5PR,foodbank@stockportfoodbank.org.uk,http://stockport.foodbank.org.uk/,Stockport,E08000007,#fc6721,medium
Trussell Trust,Foodbank Voucher,Mon & Thur 1-3pm (except bank holidays),"St Martin's Church, 112 Crescent Park, Norris Bank, Stockport",SK4 2JE,foodbank@stockportfoodbank.org.uk,http://stockport.foodbank.org.uk/,Stockport,E08000007,#fc6721,medium
Trussell Trust,Foodbank Voucher,Thursdays & Saturdays 10:30am - 12:30pm,"Turn into Rupert St opposite Morrisons, Bairstow Centre is then set back on your right, Rupert Street, Reddish, Stockport",SK5 7AP,foodbank@stockportfoodbank.org.uk,http://re-dish.org/projects/food-action/,Stockport,E08000007,#fc6721,medium
Trussell Trust,Foodbank Voucher,Tuesday 12:30pm - 2:30pm,"St Mark's Church, Redhouse Lane, Stockport",SK6 1BX,foodbank@stockportfoodbank.org.uk,http://stockport.foodbank.org.uk/,Stockport,E08000007,#fc6721,medium
Trussell Trust,Foodbank Voucher,"Mon & Fri 10am - 2pm, Wed 11am - 3pm","Drop-in centre at Bramhall Community Hub, 84 North Park Road, Bramhall, Stockport",SK7 3HS,foodbank@stockportfoodbank.org.uk,http://stockport.foodbank.org.uk/,Stockport,E08000007,#fc6721,medium
Trussell Trust,Foodbank Voucher,"Mon 12:30pm - 2:30pm, Wed 11am - 1pm and Fri 11:30am - 2:30pm","Hazel Grove Baptist Church, Station Street, Hazel Grove, Stockport",SK7 4EX,foodbank@stockportfoodbank.org.uk,http://stockport.foodbank.org.uk/,Stockport,E08000007,#fc6721,medium
Trussell Trust,Foodbank Voucher,Friday 10 - 11.30am,"Trinity Church, Massie Street, Cheadle, Stockport",SK8 1DU,foodbank@stockportfoodbank.org.uk,http://stockport.foodbank.org.uk/,Stockport,E08000007,#fc6721,medium
Mottram St Pantry,Become a member: further information here http://your-local-pantry.beta.stockporthomes.org/join-us/become-a-member/,"Thursday 3.30 - 5.30pm, Friday 10am - 12noon","Mottram Towers, Mottram Fold, Stockport",SK1 3NY,pantry@stockporthomes.org,http://www.yourlocalpantry.co.uk/,Stockport,E08000007,#fc6721,medium
Penny Lane Pantry,Become a member: further information here http://your-local-pantry.beta.stockporthomes.org/join-us/become-a-member/,Tuesday 3.30 - 5.30pm Wednesday 10am - 12noon,"Honover Towers, Lancashire Hill, Penny Lane, Stockport",SK5 7RJ,pantry@stockporthomes.org,http://www.yourlocalpantry.co.uk/,Stockport,E08000007,#fc6721,medium
Brinnington Pantry,Become a member: further information here http://your-local-pantry.beta.stockporthomes.org/join-us/become-a-member/,Thursday 3.30 - 5.30pm Friday 10am - 12 noon,"First House, 367 Brinnington Road, Brinnington, Stockport",SK5 8EN,pantry@stockporthomes.org,http://www.yourlocalpantry.co.uk/,Stockport,E08000007,#fc6721,medium
Pantry at No5,Become a member - information here http://your-local-pantry.beta.stockporthomes.org/join-us/become-a-member/,Thursday 3.30 - 5.30pm Friday 10am - 12noon,"5 Cuddington Crescent, Bridgehall, Stockport",SK3 8LX,pantry@stockporthomes.org,http://www.yourlocalpantry.co.uk/,Stockport,E08000007,#fc6721,medium
Myriad Foundation,Evidence of need,Wednesday 7 - 9pm Saturday 12 - 3pm,"Weybrook Road, Levenshulme",M19 2QD,info@myriadfoundation.org 07584634997,http://www.myriadfoundation.org/,Stockport,E08000007,#fc6721,medium
Chelwood Food Bank,Not known,Wednesday 10 - 12,"The Olive Branch, 2c Castle Street Edgeley",SK3 9AB,info@chelwoodfoodbankplus.org,http://www.chelwoodfoodbankplus.org/welcome/,Stockport,E08000007,#fc6721,medium
Ashton Central Mosque,Not known,Not known,"Hillgate Street, Ashton-under-Lyne",OL6 9JA,Not known,http://ashtoncentralmosque.com/index.php/services/tameside-food-bank/,Tameside,E08000008,#fc6721,medium
Hyde & District Fellowship of Churches,Referral,Mon 1-2pm Thurs 10-11am Sat 12- 1pm,"The Central Methodist Church, Crook Street, Hyde",SK14 1NQ,O1613681392,https://www.facebook.com/hdfc.foodbank.sk14/,Tameside,E08000008,#fc6721,medium
Mossley Food Bank,Not known,Very limited supplies,"Micklehurst Youth Base, The Rowans, Mossley",OL5 9DR,Not known,https://mtc530.wordpress.com/2016/11/17/mossley-food-bank/,Tameside,E08000008,#fc6721,medium
St Mary's Church,Referral,"Tues 4pm - 5pm, Wed 3pm - 4pm, Thurs 3pm - 4pm and Fri 11:30am - 12:30pm","Meadow Lane, Haughton Green, Manchester",M34 7GD,helen.holland1@talktalk.net,http://www.stmaryshg.org.uk/#!food-bank/cxbf,Tameside,E08000008,#fc6721,medium
Trussell Trust,Foodbank Voucher,Friday 12pm - 2pm,"St Mary's Church, Church Street, Droylesden, Manchester",M43 7BR,info@droylsdendistrict.foodbank.org.uk,http://droylsdendistrict.foodbank.org.uk/,Tameside,E08000008,#fc6721,medium
Trussell Trust,Foodbank Voucher,Thursday 1pm - 3pm,"New Life Church, St James Street, Ashton-under-Lyne",OL6 6SF,info@tamesideeast.foodbank.org.uk,http://tamesideeast.foodbank.org.uk/,Tameside,E08000008,#fc6721,medium
Trussell Trust,Foodbank Voucher,Tues 12noon - 1pm. Fri 2pm - 3pm,"Hattersley Baptist Church, Melandra Crescent, Hattersley",SK14 3RB,info@tamesidesouthlongdendale.foodbank.org.uk,http://tamesidesouthlongdendale.foodbank.org.uk/,Tameside,E08000008,#fc6721,medium
Trussell Trust,Foodbank Voucher,Mon 11am - 12noon,"St Mary's Church, Market Street, Hollingworth",SK14 8NE,info@tamesidesouthlongdendale.foodbank.org.uk,http://tamesidesouthlongdendale.foodbank.org.uk/,Tameside,E08000008,#fc6721,medium
Trussell Trust,Foodbank Voucher,Monday & Tuesday 11am - 1pm,"St Matthews, Dean Street, Stalybridge",SK15 2DJ,info@tamesideeast.foodbank.org.uk,http://tamesideeast.foodbank.org.uk/,Tameside,E08000008,#fc6721,medium
Trussell Trust,Foodbank Voucher,Friday 12noon - 2pm and Saturday 10am - 12noon,"St Johns, Vicarage Drive, Dukinfield",SK16 5HZ,info@tamesideeast.foodbank.org.uk,http://tamesideeast.foodbank.org.uk/,Tameside,E08000008,#fc6721,medium
Dukinfield Pantry,Not known,Tuesday and Thursday 9:30am – 12:30pm,1 Wellington Parade Central Estate Dukinfield,SK16 4LE,Not known,Not known,Tameside,E08000008,#fc6721,medium
For Tameside South & Longdendale Trussell Trust Foodbank,Foodbank vouchers,9 - 4 Monday - Friday.  Emergency food parcels are held here as they are open longer hours.,"The Hub, Stockport Road",SK14 6AF,info@tamesidesouthlongdendale.foodbank.org.uk,http://tamesidesouthlongdendale.foodbank.org.uk/,Tameside,E08000008,#fc6721,medium
Trussell Trust,Foodbank Voucher,Thursday 10:30am - 12:30pm,"The Fuse ROC Centre, Warburton Lane, Partington, Manchester",M31 4BU,info@traffordsouth.foodbank.org.uk,http://traffordsouth.foodbank.org.uk/,Trafford,E08000009,#fc6721,medium
Trussell Trust,Foodbank Voucher,"Tues 11am - 2pm, Fri 11.30am -1.30pm","Trafford Christian Life Centre, 107 Barton Road, Stretford, Manchester",M32 9AF,info@stretford.foodbank.org.uk,http://stretford.foodbank.org.uk/,Trafford,E08000009,#fc6721,medium
Trussell Trust,Foodbank Voucher,Monday 12noon - 2pm,"St Francis Church, Budworth Road, Sale Moor, Manchester",M33 2RP,info@traffordsouth.foodbank.org.uk,http://traffordsouth.foodbank.org.uk/,Trafford,E08000009,#fc6721,medium
Trussell Trust,Foodbank Voucher,Tuesday 11am - 1pm,"Sale West Credit Unit Rooms, Newbury Avenue, Sale, Manchester",M33 4QW,info@traffordsouth.foodbank.org.uk,http://traffordsouth.foodbank.org.uk/,Trafford,E08000009,#fc6721,medium
Trussell Trust,Foodbank Voucher,Wednesday 10:30am - 12:30pm,"St Albans Church Hall, Lindsell Road, Altrincham",WA14 5NX,info@traffordsouth.foodbank.org.uk,http://traffordsouth.foodbank.org.uk/,Trafford,E08000009,#fc6721,medium
Trussell Trust,Foodbank Voucher,Friday 10am - 12noon,"Timperley Methodist Church, Stockport Road, Timperley",WA15 7UG,info@traffordsouth.foodbank.org.uk,http://traffordsouth.foodbank.org.uk/,Trafford,E08000009,#fc6721,medium
The Globe: Old Trafford Pantry,Not known,Friday 2 - 4.30pm,79 Cornbrook Street Old Trafford Manchester,M16 7QB,urchoice1@outlook.com,https://118aglobe.wordpress.com/,Trafford,E08000009,#fc6721,medium
Salvation Army Atherton,Not known,Monday 12:30pm - 2pm,"George Street, Atherton, Manchester",M46 0EL,mark.cotterill@salvationarmy.org.uk,http://www.salvationarmy.org.uk/Atherton,Wigan,E08000010,#fc6721,medium
The Brick Food Bank,Referral,Appointment,"10 Arcade Street, Wigan",WN1 1LU,enquiries@thebrick.org.uk,http://thebrick.org.uk/,Wigan,E08000010,#fc6721,medium
Trussell Trust,Foodbank Voucher,Wednesdays & Friday 1pm - 3pm,"Atherton Parish Church, St John the Baptist, Market Street, Atherton, Manchester",M46 0DD,info@athertonleigh.foodbank.org.uk,http://athertonleigh.foodbank.org.uk/,Wigan,E08000010,#fc6721,medium
Trussell Trust,Foodbank Voucher,Tuesday 1 - 3pm,"Olympic House, Platt Street, Platt Bridge, Wigan",WN2 5DA,info@athertonleigh.foodbank.org.uk,http://athertonleigh.foodbank.org.uk/,Wigan,E08000010,#fc6721,medium
Trussell Trust,Foodbank Voucher,Thursday 10am - 12noon,"Leigh Baptist Church, 35 Vernon Street, Leigh",WN7 1BH,info@athertonleigh.foodbank.org.uk,http://athertonleigh.foodbank.org.uk/,Wigan,E08000010,#fc6721,medium
Trussell Trust,Foodbank Voucher,Monday & Tuesday 10am - 12noon,"Kingsleigh Methodist Church, King Street, Leigh",WN7 4LR,info@athertonleigh.foodbank.org.uk,http://athertonleigh.foodbank.org.uk/,Wigan,E08000010,#fc6721,medium
The Bridge at Leigh,We are a community cafe utilising surplus food on a pay as you feel basis plus also a surplus food market on similar lines. If you cannot afford to pay it is free. If you cannot get to a referral agency for a food bank voucher we can supply food for that crisis event. ,Mon - Sat 10.00 - 4.00,The Old Methodist School 87 King St LEIGH,WN7 4LJ,NA,NA,Wigan,E08000010,#fc6721,medium
Ashton Churches Together (ACT),"For people who live in the Ashton, North Ashton, Garswood, Bryn and Golborne area",Contact for details,Ashton Town Centre & 31 Satinwood Close,WN4 9NL,01942 273721 actfoodbank@aol.co.uk,http://www.stthomasstluke.org.uk/ourtown/actfoodbank/,Wigan,E08000010,#fc6721,medium
