name,referral_method,opening_times,contact,website,address,post_code,lat,lon
Trussell Trust,Foodbank Voucher,Tuesday 12:30pm - 2:30pm,foodbank@stockportfoodbank.org.uk,http://stockport.foodbank.org.uk/,"St Mark's Church, Redhouse Lane, Stockport",SK6 1BX,53.381493199999994,-2.1624399999999997
Trussell Trust,Foodbank Voucher,"Mon & Fri 10am - 2pm, Wed 11am - 3pm",foodbank@stockportfoodbank.org.uk,http://stockport.foodbank.org.uk/,"Drop-in centre at Bramhall Community Hub, 84 North Park Road, Bramhall, Stockport",SK7 3HS,53.3781885,-2.1222316000000006
Trussell Trust,Foodbank Voucher,"Mon 12:30pm - 2:30pm, Wed 11am - 1pm and Fri 11:30am - 2:30pm",foodbank@stockportfoodbank.org.uk,http://stockport.foodbank.org.uk/,"Hazel Grove Baptist Church, Station Street, Hazel Grove, Stockport",SK7 4EX,53.392429,-2.2155476000000003
Trussell Trust,Foodbank Voucher,Friday 10 - 11.30am,foodbank@stockportfoodbank.org.uk,http://stockport.foodbank.org.uk/,"Trinity Church, Massie Street, Cheadle, Stockport",SK8 1DU,53.403289900000004,-2.353799
Trussell Trust,Foodbank Voucher,Wednesday 10:30am - 12:30pm,info@traffordsouth.foodbank.org.uk,http://traffordsouth.foodbank.org.uk/,"St Albans Church Hall, Lindsell Road, Altrincham",WA14 5NX,53.3975187,-2.3189359
Trussell Trust,Foodbank Voucher,Friday 10am - 12noon,info@traffordsouth.foodbank.org.uk,http://traffordsouth.foodbank.org.uk/,"Timperley Methodist Church, Stockport Road, Timperley",WA15 7UG,53.5192815,-2.5986884000000003
Trussell Trust,Foodbank Voucher,Tuesday 1 - 3pm,info@athertonleigh.foodbank.org.uk,http://athertonleigh.foodbank.org.uk/,"Olympic House, Platt Street, Platt Bridge, Wigan",WN2 5DA,53.4981017,-2.5143939
Trussell Trust,Foodbank Voucher,Thursday 10am - 12noon,info@athertonleigh.foodbank.org.uk,http://athertonleigh.foodbank.org.uk/,"Leigh Baptist Church, 35 Vernon Street, Leigh",WN7 1BH,53.4957083,-2.5198653
Trussell Trust,Foodbank Voucher,Monday & Tuesday 10am - 12noon,info@athertonleigh.foodbank.org.uk,http://athertonleigh.foodbank.org.uk/,"Kingsleigh Methodist Church, King Street, Leigh",WN7 4LR,53.576695699999995,-2.4229203999999998
Urban Outreach,Referral,One morning per week,01204 385 848,http://www.urbanoutreach.co.uk/ ,"Environ House, Salop Street, Bolton",BL2 1DZ,53.50389939999999,-2.2416378999999993
Wai Yin Society,Referral only,"Mondays, Tuesdays, Thursdays and Fridays 10am - 3pm  2.	We also provide a hot meal for 50p each lunchtime (Halal)- free to those with no money",info@waiyin.org.uk,http://www.waiyin.org.uk,"18-32 Brentfield Avenue, Cheetham Hill, Manchester",M8 0TW,53.377268699999995,-2.2590030000000003
Young People's Support Foundation (YPSF),Meals only,Tuesdays and Thursdays 10am- 12noon,info@ypsf.co.uk,http://www.ypsf.co.uk/,"St Andrew's Hall, Brownley Road, Wythenshawe, Manchester",M22 0DW,53.483394000000004,-2.2340017000000003
Young People's Support Foundation (YPSF),Meals only,"Monday, Wednesday, Friday 10am -12noon",info@ypsf.co.uk,http://www.ypsf.co.uk/,"52 Oldham Street, Northern Quarter, Manchester",M4 1LE,53.4932758,-2.1801861000000144
4CT Limited,Referral,Wednesday 2pm - 4pm,v.keelan.4ct@btconnect.com,http://www.4ct.org.uk/index.php/Section76.html,"CSTAR Stirling Centre, Scotland Hall Road, Newton Heath, Manchester",M40 2AZ,53.3801613,-2.287222100000008
Trussell Trust,Foodbank Voucher,"Mon, Tues, Thu 11am - 2.30pm",info@wythenshawe.foodbank.org.uk,http://wythenshawe.foodbank.org.uk,"Tree of Life, Greenbrow Road, Newall Green, Wythenshawe, Manchester",M23 2UE,53.480666,-2.249567299999967
Wood Street Mission,Referral only,Monday-Friday 8.30-4.30 (Office) Tuesday-Thursday 10am-1pm (community Shop),"info@woodstreetmission.org.uk
0161 834 3140",http://www.woodstreetmission.org.uk,26 Wood Street Manchester,M3 3EF,53.4944563,-2.5197158999999374
The Bridge at Leigh,We are a community cafe utilising surplus food on a pay as you feel basis plus also a surplus food market on similar lines. If you cannot afford to pay it is free. If you cannot get to a referral agency for a food bank voucher we can supply food for that crisis event. ,Mon - Sat 10.00 - 4.00,,,The Old Methodist School 87 King St LEIGH,WN7 4LJ,53.4837852,-2.1794376000000284
St Cross Church,St Cross Voucher & OM PA Assessment sheet,"Thursday morning, tinned food and dry goods only",0161 223 0766,not known,"The Rectory, 54 Clayton Hall Road, Clayton",M11 4WH,53.483552,-2.2313503999999966
Lifeshare Ltd,"Self referrals for 16-25 year olds wanting to engage further with our service.
If it is for food parcels only then it has to be agency referral. The parcel must be collected by a support/agency worker if the recipient is over 25",Mon-Fri 10am-4pm Food parcels,office@lifeshare.org.uk,http://www.lifeshare.org.uk/,First Floor 27 Houldsworth Street,M1 1EB,53.4052039,-2.156573999999978
Mottram St Pantry,Become a member: further information here http://your-local-pantry.beta.stockporthomes.org/join-us/become-a-member/,"Thursday 3.30 - 5.30pm, Friday 10am - 12noon",pantry@stockporthomes.org,http://www.yourlocalpantry.co.uk/,"Mottram Towers, Mottram Fold, Stockport",SK1 3NY,53.4159958,-2.159096200000022
Penny Lane Pantry,Become a member: further information here http://your-local-pantry.beta.stockporthomes.org/join-us/become-a-member/,Tuesday 3.30 - 5.30pm Wednesday 10am - 12noon,pantry@stockporthomes.org,http://www.yourlocalpantry.co.uk/,"Honover Towers, Lancashire Hill, Penny Lane, Stockport",SK5 7RJ,53.42594159999999,-2.133489999999938
Brinnington Pantry,Become a member: further information here http://your-local-pantry.beta.stockporthomes.org/join-us/become-a-member/,Thursday 3.30 - 5.30pm Friday 10am - 12 noon,pantry@stockporthomes.org,http://www.yourlocalpantry.co.uk/,"First House, 367 Brinnington Road, Brinnington, Stockport",SK5 8EN,53.3938388,-2.172231399999987
Pantry at No5,Become a member - information here http://your-local-pantry.beta.stockporthomes.org/join-us/become-a-member/,Thursday 3.30 - 5.30pm Friday 10am - 12noon,pantry@stockporthomes.org,http://www.yourlocalpantry.co.uk/,"5 Cuddington Crescent, Bridgehall, Stockport",SK3 8LX,53.480783,-2.0927970999999843
Dukinfield Pantry,Not known,Tuesday and Thursday 9:30am – 12:30pm,Not known,Not known,1 Wellington Parade Central Estate Dukinfield,SK16 4LE,53.4624527,-2.2592204999999694
The Globe: Old Trafford Pantry,Not known,Friday 2 - 4.30pm,urchoice1@outlook.com,https://118aglobe.wordpress.com/,79 Cornbrook Street Old Trafford Manchester,M16 7QB,53.5335779,-2.2377636999999595
Christian Restoration Manchester,Proof of benefits or referral from other organisations,"Tuesday 6:30pm to 8:30pm, Thursday 12pm to 3pm, Friday 7pm to 8pm. On Sunday @12pm to 3pm they offer tea, snacks  There are many other services available. Check out their website.",crm.manchester@gmail.com,www.crm-manchester.org,"451 Victoria Avenue, Blackley, Manchester, M9 8PJ  Please note the building is just inside the cemetary using the Victoria Road entrance not on the road as the postcode indicates.",M9 8PJ,53.4832549,-2.3497628
Salford Unemployed & Community Resource Centre,Not known,Not known,secretary_stuc@hotmail.co.uk 0161 789 2999,http://www.salforducrc.co.uk/index,"84 - 86 Liverpool Road, Eccles",M30 0WZ,53.46077409999999,-2.207550099999935
Ardwick & Longsight Food Bank,Proof of need and ID and referrals,"Open Monday 1-3pm, Thursday 2-4pm 
Not open on Bank Holidays",0161 273 3977 (during opening hours),www.ardwickandlongsightfoodbank.org.uk,"Transformation Community Resource Centre, 11 Richmond Grove, Longsight",M13 0LN,53.4343078,-2.182570299999952
Myriad Foundation,Evidence of need,Wednesday 7 - 9pm Saturday 12 - 3pm,info@myriadfoundation.org 07584634997,http://www.myriadfoundation.org/,"Weybrook Road, Levenshulme",M19 2QD,53.4429312,-2.278492300000039
Reach out to the Community,For rough sleepers and local families,Monday - Saturday 7.30am = 4.30pm,"07516161655
reachoutcommunity@yahoo.com",not known,"Elliotts Fruit & Veg, Chorlton Precinct, Wilbraham Road, Chorlton",M21 9AQ,53.4642712,-2.249486100000013
Fountain Gate Chapel,Call to refer a client,Monday - Friday 11.30am - 2.30pm,fgckmc@yahoo.com 0161 222 3032,Not known,"Kingdom Mandate Centre, Chichester Road, Hulme",M15 5EU,53.4819069,-2.2360429000000295
Befrienders,Foodbank voucher,Monday & Wednesday 2 - 4pm,admin@methodistcentralbuildings.org.uk 0161 236 1185,http://www.methodistcentralbuildings.org.uk/,"Methodist Central Hall, Oldham Street, Manchester",M1 1JQ,53.4847943,-2.2526054999999587
Audacious A Teams,Food & support for homeless & sex workers,"Monday - Friday 10am - 4pm Free hot meal on Tuesday evening, 7.30 - 9.30pm",info@audaciouschurch.com 0161 830 7000,https://audaciouschurch.com/a-teams/,"Audacious Church, Trinity Way, Manchester",M3 7BB,53.4887314,-2.2482281999999714
Feed the 5000,"People in crisis, once every 2 weeks",Thursday 4 - 6pm Job Club Monday 1 - 2pm,info@manchesterlifecentre.co.uk 0161 298 5123,http://manchesterlifecentre.co.uk/cms/,"Faith Life Centre, 5 Mary Street, Manchester",M3 1NH,53.5093598,-2.195016200000055
Wellspring Community Church,Foodbank voucher,Thursday 1.30 - 2.30pm,office@wellspringcommunitychurch.org  0161 219 1284,http://wellspringcommunitychurch.org/,"Brendon Avenue, Moston, Manchester",M40 9DN,53.48544339999999,-2.6495859999999993
Ashton Churches Together (ACT),"For people who live in the Ashton, North Ashton, Garswood, Bryn and Golborne area",Contact for details,01942 273721 actfoodbank@aol.co.uk,http://www.stthomasstluke.org.uk/ourtown/actfoodbank/,Ashton Town Centre & 31 Satinwood Close,WN4 9NL,53.4026869,-2.163468400000056
Chelwood Food Bank,Not known,Wednesday 10 - 12,info@chelwoodfoodbankplus.org,http://www.chelwoodfoodbankplus.org/welcome/,"The Olive Branch, 2c Castle Street Edgeley",SK3 9AB,53.4227691,-2.2630116
Southway Housing Merseybank Quids In Food Club,£2 weekly membership for any household in the postcode area of the club,Friday 10.30am - 2pm,connect2southway@southwayhousing.co.uk 0161 448 4200,http://www.southwayhousing.co.uk/quidsin,"42 Merseybank Avenue, Chorlton",M21 7NN,53.4268225,-2.2034567000000607
Southway Housing Burnage East Quids In Food Cub,£2 membership to any household in the postcode area,Wednesday 9.30am - 2pm,connect2southway@southwayhousing.co.uk   0161 448 4200,http://www.southwayhousing.co.uk/quidsin,"Burnage Community Centre
Burnage Lane",M19 1ER,53.4247697,-2.2156662
Southway Housing Burnage West Quids In Food Club ,£2 membership for any household in the postcode area,Wednesday 10.30am - 2pm,connect2southway@southwayhousing.co.uk 0161 448 4200,http://www.southwayhousing.co.uk/quidsin,"Westcroft Community Centre, Westcroft Road",M20 6EF,53.436117,-2.2373391999999517
Southway Housing Old Moat Quids IN Food Club,£2 membership for any household in the postcode area,Friday 11am - 2.30pm,connect2southway@southwayhousing.co.uk 0161 448 4200,http://www.southwayhousing.co.uk/quidsin,"Old Moat Children’s Centre
Old Moat Lane,",M20 1DE,53.435401,-2.2657237999999325
Southway Housing Chorlton Quids In Food Club,£2 membership for any household in the postcode area,Thursday 11am - 2.30pm,connect2southway@southwayhousing.co.uk 0161 448 4200,http://www.southwayhousing.co.uk/quidsin,Brookfield House - the white house just inside Chorlton Park on the opposite side of the road to this map pin - the building does not have a  postcode,M21 7RL,53.46502419999999,-2.213460400000031
Coverdale & Newbank Community Food Membership Scheme,"Membership for people within walking distance, £2.50 fee per week",Thursday 11am - 2pm,"info@coverdaleandnewbank.com 0161 
274 2186","http://www.coverdaleandnewbank.com
/community-projects","Cornbrook House, 217 Stockport Road",M12 4DY,53.54156889999999,-2.1162292000000207
Trussel Trust Oldham,Foodbank Voucher,"Tuesday, Wednesday and Thursday 11am - 2pm, Friday 11am - 4pm",andrew@oldham.foodbank.org.uk 0161 622 1061,https://www.trusselltrust.org/get-help/find-a-foodbank/oldham/,"The Three Crowns Centre, 1-3 Manchester Street, Oldham",OL1 1LE,53.4752626,-2.241444900000033
Real Junk Food Manchester,Pay-as-you-feel restaurant,"Check opening times - currently planning to be open for breakfast, lunch and dinner",07912 509665,https://www.facebook.com/pg/realjunkfoodmcr,"85 Oxford Street, Manchester",M1 6ET,53.48849569999999,-2.21196580000003
Miles Platting Community Grocer,Membership for people who live within 15 minutes walk. £2.50 for £12 worth of groceries,Thursday 9.30am - 12.30pm,07913 540680,none,"Queensbury Court, Wardle Street, Miles Platting",M40 7DD,53.48716450000001,-2.2894673000000694
"Emmaus Salford, Lucie's Pantry",Membership £2.50 per week for £15 worth of groceries based on need and geography also available is a regular CAB Surgery,No opening times are advertised.  Please check with Emmaus Salford,0161 737 8279 or email simonlocke.emmaussalford@gmail.com,https://www.emmaus.org.uk/salford/luciespantry,"Emmaus House, 101 Fitzwarren Street, Salford",M6 5RQ,53.43625429999999,-2.273947899999939
Barakah Food Aid,"Self-refer, food parcels delivered on Sundays, emergency parcels during the week",See above,07506 527523,https://www.facebook.com/BarakahFoodAid/,Please note the pin does not represent a base for this organisation.  It operates in the Chorlton/Whalley Range area.  Please call using the phone number shown below or contact them via Facebook.,M21 8AU,53.4505874,-2.2039015999999947
Anson Community Shop,"Membership for people living within 15 minutes walk, £2.50 for £12 of groceries plus toiletries and household essentials",Tuesdays and Thursdays 9.30am - 12.30pm,richbrowning@healthymehealthycommunities.co.uk 07913 540680,https://www.onemanchester.co.uk/support-opportunities/money-benefits-advice/saving-money/food-cooperatives,"38 Meldon Road, Manchester",M13 0TR,53.5980797,-2.289998999999966
Freedom Church,Agency referral for up to 4 weeks,"Wednesdays 1:30 – 3:30pm, and also a home delivery service for people with access difficulties. They also give out food on evenings and weekends by appointment only.  They also provide advice and support in specific areas.",community@freedomchurch.org.uk ,http://www.freedomchurch.org.uk/food-glorious-food/,"Link House, 35 Walmersley Road, Bury",BL9 5AE,53.48962539999999,-2.2827772000000555
Coffee4Craig Food Bank,No evidence needed,24/7 upon request (need to arrange for one of our team to meet you there),hendrix@coffee4craig.co.uk / dee.lowry@coffee4craig.co.uk / 07543590330,www.coffee4craig.co.uk,"The Woolpack. Belvedere Road, Salford Pendleton",M6 5HE,53.4852976,-2.3427721000000474
Trussell Trust Eccles,Foodbank Voucher,Friday 11am - 1pm,info@salfordcentral.foodbank.org.uk,http://salford.foodbank.org.uk,"Connect Church, Mather Avenue Entrance",M30 0UG,53.4547472,-2.4106535999999323
The Trussell Trust: Irlam & Cadishead,Foodbank vouchers,"New foodbank, opening times TBC",info@irlamcadishead.foodbank.org.uk,https://irlamcadishead.foodbank.org.uk,"Boundary Road Methodist Church, Boundary Road, Irlam",M44 6HD,53.4641387,-2.1653916999999865
Gorton Community Grocer,Membership: pay £2.50 for roughly £12 worth of groceries.  Open to people living within 15 minutes walk. Toiletries and cooking classes are also available.,Friday 9.30am - 12 noon,info@healthymehealthycommunities.co.uk   07913540680,http://healthymehealthycommunities.co.uk/,"Abbey Hey Lane, Gorton",M18 8PF,53.45176619999999,-2.0232710000000225
For Tameside South & Longdendale Trussell Trust Foodbank,Foodbank vouchers,9 - 4 Monday - Friday.  Emergency food parcels are held here as they are open longer hours.,info@tamesidesouthlongdendale.foodbank.org.uk,http://tamesidesouthlongdendale.foodbank.org.uk/,"The Hub, Stockport Road",SK14 6AF,53.5868889,-2.3010706000000027
Bury Baptist Church,Self-referral,"In addition to emergency food visitors can get free meals and a listening ear Monday 6-7pm, Tuesday 12-1pm, Wednesday 2=3pm and 6-7pm, Thursday 1-3pm",tim.cheprasov...tim@burybaptist.org,https://www.burybaptist.org/,"114 Manchester Road, Bury",BL9 0TH,53.4863326,-2.29515820000006
Salford Food Parcel Project,"In partnership with the Red Cross, Salford Food Parcels provides a food parcel to destitute asylum seeking people in the local area. ","Wednesday 10am - 12noon.  (Make Lunch runs during the school holidays: a two course hot meal and fun in the afternoon to children who are in receipt of Free School Meals 11-1pm, please call us on 0161 736 7644 for more information.)",lifecentreonline@gmail.com,http://lifecentre.org.uk/food-parcel-project,"Lifecentre Salford, 219 Langworthy Road, Salford",M6 5PW,53.5436486,-2.41169519999994
New Bury UCAN Food Pantry,"£2.50 membership for £10 basket of food including fresh produce, bread, tinned food, meat, cheese",Thursday 10.30am - 12.30pm,01204 329786,http://www.boltonathome.org.uk/ucan,53 George St New Bury,BL4 9PU,53.5927973,-2.47919330000002
Bolton at Home Hope Centre UCAN ,"Please visit or call the Johnson Fold UCAN at 5 Johnson fold Ave, BL1 5SF.  (Open Tues 9:30-12:30 1:30-4:00pm.) for possible referral to the Hope Centre Food Pantry which is mainly for people on this estate or on Mossbank Way and is open on Thursday as shown",Thursday 1.30 - 3.30pm,01204 329704,http://www.boltonathome.org.uk/ucan,"29 Tattersall Ave, Johnson Fold, Bolton",BL1 5TE,53.479661699999994,-2.2006206999999995
