lsoa11cd,measure,value,index_domain
E01005547,Score,1.167,Health Deprivation and Disability
E01004945,Score,0.214,Health Deprivation and Disability
E01004925,Score,0.402,Health Deprivation and Disability
E01004937,Score,-0.199,Health Deprivation and Disability
E01005178,Score,1.605,Health Deprivation and Disability
E01004783,Score,-0.041,Health Deprivation and Disability
E01004781,Score,0.212,Health Deprivation and Disability
E01004824,Score,0.899,Health Deprivation and Disability
E01005191,Score,1.439,Health Deprivation and Disability
E01005165,Score,2.054,Health Deprivation and Disability
E01004822,Score,1.769,Health Deprivation and Disability
E01004829,Score,0.975,Health Deprivation and Disability
E01004794,Score,1.273,Health Deprivation and Disability
E01004953,Score,-0.196,Health Deprivation and Disability
E01004865,Score,1.156,Health Deprivation and Disability
E01004910,Score,0.067,Health Deprivation and Disability
E01004946,Score,1.452,Health Deprivation and Disability
E01004958,Score,1.16,Health Deprivation and Disability
E01004788,Score,-0.103,Health Deprivation and Disability
E01004769,Score,0.04,Health Deprivation and Disability
E01004880,Score,0.277,Health Deprivation and Disability
E01004833,Score,0.119,Health Deprivation and Disability
E01004967,Score,-0.3,Health Deprivation and Disability
E01005444,Score,0.407,Health Deprivation and Disability
E01005460,Score,0.797,Health Deprivation and Disability
E01005443,Score,-0.137,Health Deprivation and Disability
E01005479,Score,0.737,Health Deprivation and Disability
E01005949,Score,1.345,Health Deprivation and Disability
E01005909,Score,-0.466,Health Deprivation and Disability
E01005940,Score,0.41,Health Deprivation and Disability
E01005913,Score,-0.311,Health Deprivation and Disability
E01005938,Score,0.804,Health Deprivation and Disability
E01005933,Score,2.024,Health Deprivation and Disability
E01005918,Score,2.762,Health Deprivation and Disability
E01005937,Score,1.159,Health Deprivation and Disability
E01005259,Score,1.888,Health Deprivation and Disability
E01005267,Score,1.007,Health Deprivation and Disability
E01005180,Score,1.77,Health Deprivation and Disability
E01005258,Score,1.753,Health Deprivation and Disability
E01005344,Score,0.998,Health Deprivation and Disability
E01005311,Score,0.934,Health Deprivation and Disability
E01005271,Score,1.69,Health Deprivation and Disability
E01005288,Score,1.831,Health Deprivation and Disability
E01005068,Score,2.444,Health Deprivation and Disability
E01005145,Score,1.06,Health Deprivation and Disability
E01005114,Score,0.586,Health Deprivation and Disability
E01005065,Score,2.049,Health Deprivation and Disability
E01005190,Score,1.337,Health Deprivation and Disability
E01005202,Score,2.383,Health Deprivation and Disability
E01005152,Score,0.524,Health Deprivation and Disability
E01005562,Score,0.988,Health Deprivation and Disability
E01005434,Score,1.52,Health Deprivation and Disability
E01005442,Score,-0.197,Health Deprivation and Disability
E01005576,Score,0.018,Health Deprivation and Disability
E01005490,Score,1.435,Health Deprivation and Disability
E01005517,Score,0.187,Health Deprivation and Disability
E01005565,Score,1.323,Health Deprivation and Disability
E01005489,Score,0.346,Health Deprivation and Disability
E01005201,Score,1.468,Health Deprivation and Disability
E01005345,Score,0.249,Health Deprivation and Disability
E01005272,Score,1.942,Health Deprivation and Disability
E01005340,Score,1.379,Health Deprivation and Disability
E01005420,Score,0.355,Health Deprivation and Disability
E01005435,Score,0.526,Health Deprivation and Disability
E01005312,Score,1.717,Health Deprivation and Disability
E01005296,Score,0.922,Health Deprivation and Disability
E01005104,Score,1.393,Health Deprivation and Disability
E01005052,Score,-0.388,Health Deprivation and Disability
E01005083,Score,0.905,Health Deprivation and Disability
E01005160,Score,0.835,Health Deprivation and Disability
E01005105,Score,1.414,Health Deprivation and Disability
E01005069,Score,0.65,Health Deprivation and Disability
E01005153,Score,0.834,Health Deprivation and Disability
E01005084,Score,0.88,Health Deprivation and Disability
E01005051,Score,0.36,Health Deprivation and Disability
E01006371,Score,0.356,Health Deprivation and Disability
E01006362,Score,-0.22,Health Deprivation and Disability
E01006355,Score,0.414,Health Deprivation and Disability
E01006359,Score,1.086,Health Deprivation and Disability
E01006391,Score,0.428,Health Deprivation and Disability
E01006263,Score,0.059,Health Deprivation and Disability
E01006392,Score,1.813,Health Deprivation and Disability
E01006372,Score,-0.327,Health Deprivation and Disability
E01006406,Score,0.702,Health Deprivation and Disability
E01006411,Score,1.979,Health Deprivation and Disability
E01006361,Score,1.845,Health Deprivation and Disability
E01006265,Score,0.492,Health Deprivation and Disability
E01006251,Score,0.018,Health Deprivation and Disability
E01006324,Score,1.273,Health Deprivation and Disability
E01006257,Score,0.32,Health Deprivation and Disability
E01006275,Score,1.49,Health Deprivation and Disability
E01006282,Score,0.961,Health Deprivation and Disability
E01006269,Score,1.071,Health Deprivation and Disability
E01006271,Score,0.448,Health Deprivation and Disability
E01006340,Score,0.681,Health Deprivation and Disability
E01006343,Score,-0.071,Health Deprivation and Disability
E01006101,Score,-0.856,Health Deprivation and Disability
E01006117,Score,-0.407,Health Deprivation and Disability
E01006076,Score,-0.523,Health Deprivation and Disability
E01006089,Score,-0.193,Health Deprivation and Disability
E01006141,Score,0.401,Health Deprivation and Disability
E01006142,Score,0.374,Health Deprivation and Disability
E01006118,Score,0.781,Health Deprivation and Disability
E01006344,Score,1.007,Health Deprivation and Disability
E01006231,Score,0.24,Health Deprivation and Disability
E01006198,Score,0.57,Health Deprivation and Disability
E01006232,Score,-0.287,Health Deprivation and Disability
E01006208,Score,-0.144,Health Deprivation and Disability
E01006209,Score,-0.673,Health Deprivation and Disability
E01006270,Score,1.478,Health Deprivation and Disability
E01006286,Score,1.149,Health Deprivation and Disability
E01006172,Score,-0.14,Health Deprivation and Disability
E01006177,Score,0.578,Health Deprivation and Disability
E01006147,Score,-0.512,Health Deprivation and Disability
E01006171,Score,0.901,Health Deprivation and Disability
E01006192,Score,-0.738,Health Deprivation and Disability
E01006197,Score,-0.298,Health Deprivation and Disability
E01006178,Score,-0.48,Health Deprivation and Disability
E01005297,Score,0.825,Health Deprivation and Disability
E01005321,Score,1.246,Health Deprivation and Disability
E01005326,Score,1.031,Health Deprivation and Disability
E01005289,Score,2.596,Health Deprivation and Disability
E01005320,Score,1.158,Health Deprivation and Disability
E01005249,Score,1.331,Health Deprivation and Disability
E01005328,Score,1.461,Health Deprivation and Disability
E01005436,Score,0.278,Health Deprivation and Disability
E01006249,Score,1.034,Health Deprivation and Disability
E01005305,Score,0.212,Health Deprivation and Disability
E01005317,Score,2.006,Health Deprivation and Disability
E01005448,Score,1.864,Health Deprivation and Disability
E01005461,Score,1.28,Health Deprivation and Disability
E01005432,Score,1.945,Health Deprivation and Disability
E01004972,Score,0.839,Health Deprivation and Disability
E01004996,Score,1.938,Health Deprivation and Disability
E01005186,Score,1.852,Health Deprivation and Disability
E01004978,Score,0.529,Health Deprivation and Disability
E01004999,Score,-0.069,Health Deprivation and Disability
E01005214,Score,1.048,Health Deprivation and Disability
E01005172,Score,0.559,Health Deprivation and Disability
E01005098,Score,2.044,Health Deprivation and Disability
E01004970,Score,-0.446,Health Deprivation and Disability
E01004971,Score,-0.445,Health Deprivation and Disability
E01004810,Score,-0.114,Health Deprivation and Disability
E01005158,Score,1.119,Health Deprivation and Disability
E01005167,Score,1.192,Health Deprivation and Disability
E01004805,Score,-0.526,Health Deprivation and Disability
E01005041,Score,-0.005,Health Deprivation and Disability
E01005059,Score,0.479,Health Deprivation and Disability
E01005199,Score,1.248,Health Deprivation and Disability
E01005028,Score,1.324,Health Deprivation and Disability
E01004955,Score,0.971,Health Deprivation and Disability
E01004964,Score,0.773,Health Deprivation and Disability
E01005074,Score,2.373,Health Deprivation and Disability
E01005287,Score,2.226,Health Deprivation and Disability
E01005380,Score,1.413,Health Deprivation and Disability
E01005355,Score,0.678,Health Deprivation and Disability
E01005377,Score,1.519,Health Deprivation and Disability
E01005478,Score,0.67,Health Deprivation and Disability
E01005026,Score,0.551,Health Deprivation and Disability
E01005465,Score,0.678,Health Deprivation and Disability
E01005368,Score,1.097,Health Deprivation and Disability
E01005395,Score,0.142,Health Deprivation and Disability
E01005456,Score,1.267,Health Deprivation and Disability
E01005406,Score,-0.329,Health Deprivation and Disability
E01005256,Score,2.006,Health Deprivation and Disability
E01005225,Score,1.527,Health Deprivation and Disability
E01005126,Score,0.473,Health Deprivation and Disability
E01005474,Score,1.082,Health Deprivation and Disability
E01005452,Score,0.136,Health Deprivation and Disability
E01005257,Score,2.074,Health Deprivation and Disability
E01005403,Score,0.571,Health Deprivation and Disability
E01005220,Score,1.228,Health Deprivation and Disability
E01005187,Score,1.589,Health Deprivation and Disability
E01005166,Score,1.672,Health Deprivation and Disability
E01005232,Score,1.55,Health Deprivation and Disability
E01005132,Score,2.155,Health Deprivation and Disability
E01005090,Score,2.805,Health Deprivation and Disability
E01005226,Score,1.083,Health Deprivation and Disability
E01005390,Score,0.049,Health Deprivation and Disability
E01005396,Score,-0.03,Health Deprivation and Disability
E01005233,Score,1.361,Health Deprivation and Disability
E01005239,Score,2.328,Health Deprivation and Disability
E01005020,Score,-0.684,Health Deprivation and Disability
E01005025,Score,0.282,Health Deprivation and Disability
E01005386,Score,1.647,Health Deprivation and Disability
E01005017,Score,-0.158,Health Deprivation and Disability
E01005250,Score,1.439,Health Deprivation and Disability
E01005319,Score,1.685,Health Deprivation and Disability
E01005402,Score,0.587,Health Deprivation and Disability
E01005245,Score,1.826,Health Deprivation and Disability
E01005268,Score,0.822,Health Deprivation and Disability
E01005280,Score,1.465,Health Deprivation and Disability
E01005325,Score,2.42,Health Deprivation and Disability
E01006397,Score,1.245,Health Deprivation and Disability
E01006307,Score,1.35,Health Deprivation and Disability
E01006311,Score,0.951,Health Deprivation and Disability
E01006293,Score,0.762,Health Deprivation and Disability
E01006386,Score,2.832,Health Deprivation and Disability
E01006377,Score,-0.39,Health Deprivation and Disability
E01006380,Score,1.243,Health Deprivation and Disability
E01006407,Score,0.419,Health Deprivation and Disability
E01006234,Score,0.709,Health Deprivation and Disability
E01006410,Score,0.391,Health Deprivation and Disability
E01006405,Score,2.023,Health Deprivation and Disability
E01006353,Score,0.503,Health Deprivation and Disability
E01006403,Score,0.141,Health Deprivation and Disability
E01005965,Score,1.73,Health Deprivation and Disability
E01005980,Score,1.398,Health Deprivation and Disability
E01005961,Score,0.786,Health Deprivation and Disability
E01005964,Score,0.535,Health Deprivation and Disability
E01006404,Score,1.33,Health Deprivation and Disability
E01006384,Score,0.09,Health Deprivation and Disability
E01006104,Score,0.803,Health Deprivation and Disability
E01006128,Score,0.022,Health Deprivation and Disability
E01006345,Score,0.516,Health Deprivation and Disability
E01006163,Score,-0.498,Health Deprivation and Disability
E01006165,Score,0.137,Health Deprivation and Disability
E01006144,Score,1.172,Health Deprivation and Disability
E01006158,Score,0.724,Health Deprivation and Disability
E01006381,Score,-0.233,Health Deprivation and Disability
E01006119,Score,-0.199,Health Deprivation and Disability
E01006323,Score,0.971,Health Deprivation and Disability
E01006331,Score,-0.008,Health Deprivation and Disability
E01006288,Score,1.229,Health Deprivation and Disability
E01006336,Score,1.602,Health Deprivation and Disability
E01006297,Score,1.378,Health Deprivation and Disability
E01006354,Score,1.29,Health Deprivation and Disability
E01006305,Score,1.515,Health Deprivation and Disability
E01006226,Score,0.121,Health Deprivation and Disability
E01006216,Score,0.483,Health Deprivation and Disability
E01006227,Score,0.44,Health Deprivation and Disability
E01006367,Score,-0.089,Health Deprivation and Disability
E01006369,Score,1.22,Health Deprivation and Disability
E01006348,Score,0.074,Health Deprivation and Disability
E01006358,Score,1.175,Health Deprivation and Disability
E01006174,Score,-0.19,Health Deprivation and Disability
E01006181,Score,0.684,Health Deprivation and Disability
E01006217,Score,0.955,Health Deprivation and Disability
E01006220,Score,0.971,Health Deprivation and Disability
E01006140,Score,-0.541,Health Deprivation and Disability
E01006210,Score,0.001,Health Deprivation and Disability
E01006131,Score,0.023,Health Deprivation and Disability
E01005995,Score,0.126,Health Deprivation and Disability
E01005989,Score,0.125,Health Deprivation and Disability
E01005994,Score,0.668,Health Deprivation and Disability
E01005958,Score,1.42,Health Deprivation and Disability
E01005993,Score,0.729,Health Deprivation and Disability
E01006040,Score,2.185,Health Deprivation and Disability
E01005301,Score,0.406,Health Deprivation and Disability
E01005343,Score,0.987,Health Deprivation and Disability
E01005286,Score,0.727,Health Deprivation and Disability
E01005291,Score,2.51,Health Deprivation and Disability
E01005335,Score,-0.028,Health Deprivation and Disability
E01006385,Score,-0.104,Health Deprivation and Disability
E01006299,Score,-0.071,Health Deprivation and Disability
E01006363,Score,0.015,Health Deprivation and Disability
E01006382,Score,-0.328,Health Deprivation and Disability
E01006325,Score,0.76,Health Deprivation and Disability
E01006346,Score,0.45,Health Deprivation and Disability
E01006347,Score,-0.199,Health Deprivation and Disability
E01006401,Score,0.074,Health Deprivation and Disability
E01006066,Score,1.297,Health Deprivation and Disability
E01006029,Score,0.675,Health Deprivation and Disability
E01006039,Score,0.84,Health Deprivation and Disability
E01005953,Score,1.58,Health Deprivation and Disability
E01005957,Score,0.83,Health Deprivation and Disability
E01006237,Score,-0.04,Health Deprivation and Disability
E01006250,Score,-0.187,Health Deprivation and Disability
E01005140,Score,1.462,Health Deprivation and Disability
E01005147,Score,1.549,Health Deprivation and Disability
E01005130,Score,2.494,Health Deprivation and Disability
E01005139,Score,1.059,Health Deprivation and Disability
E01005151,Score,1.122,Health Deprivation and Disability
E01005192,Score,1.026,Health Deprivation and Disability
E01005203,Score,2.517,Health Deprivation and Disability
E01005155,Score,0.37,Health Deprivation and Disability
E01005184,Score,0.905,Health Deprivation and Disability
E01005205,Score,2.505,Health Deprivation and Disability
E01004921,Score,0.525,Health Deprivation and Disability
E01004796,Score,0.27,Health Deprivation and Disability
E01004979,Score,1.386,Health Deprivation and Disability
E01004919,Score,-0.248,Health Deprivation and Disability
E01005164,Score,2.042,Health Deprivation and Disability
E01005179,Score,1.253,Health Deprivation and Disability
E01004813,Score,1.112,Health Deprivation and Disability
E01005292,Score,1.972,Health Deprivation and Disability
E01005273,Score,1.19,Health Deprivation and Disability
E01005284,Score,0.714,Health Deprivation and Disability
E01005316,Score,1.511,Health Deprivation and Disability
E01005117,Score,2.548,Health Deprivation and Disability
E01005124,Score,1.7,Health Deprivation and Disability
E01005313,Score,1.814,Health Deprivation and Disability
E01005107,Score,2.173,Health Deprivation and Disability
E01005170,Score,0.187,Health Deprivation and Disability
E01005266,Score,1.719,Health Deprivation and Disability
E01005279,Score,0.926,Health Deprivation and Disability
E01005709,Score,1.709,Health Deprivation and Disability
E01005696,Score,0.722,Health Deprivation and Disability
E01005752,Score,1.092,Health Deprivation and Disability
E01005645,Score,-0.016,Health Deprivation and Disability
E01005744,Score,1.398,Health Deprivation and Disability
E01005173,Score,0.259,Health Deprivation and Disability
E01005644,Score,0.43,Health Deprivation and Disability
E01005743,Score,0.366,Health Deprivation and Disability
E01005650,Score,1.454,Health Deprivation and Disability
E01005745,Score,0.406,Health Deprivation and Disability
E01005796,Score,-0.471,Health Deprivation and Disability
E01005806,Score,-0.268,Health Deprivation and Disability
E01004913,Score,0.667,Health Deprivation and Disability
E01005766,Score,1.871,Health Deprivation and Disability
E01004904,Score,0.505,Health Deprivation and Disability
E01005716,Score,-0.445,Health Deprivation and Disability
E01005814,Score,-0.153,Health Deprivation and Disability
E01005705,Score,0.702,Health Deprivation and Disability
E01005757,Score,0.655,Health Deprivation and Disability
E01005721,Score,1.689,Health Deprivation and Disability
E01005174,Score,-0.315,Health Deprivation and Disability
E01005756,Score,2.656,Health Deprivation and Disability
E01004914,Score,0.364,Health Deprivation and Disability
E01004962,Score,0.102,Health Deprivation and Disability
E01005736,Score,0.312,Health Deprivation and Disability
E01005019,Score,-0.481,Health Deprivation and Disability
E01005006,Score,0.415,Health Deprivation and Disability
E01005100,Score,1.367,Health Deprivation and Disability
E01005085,Score,1.943,Health Deprivation and Disability
E01005031,Score,0.549,Health Deprivation and Disability
E01005038,Score,-0.042,Health Deprivation and Disability
E01005035,Score,0.191,Health Deprivation and Disability
E01005012,Score,0.459,Health Deprivation and Disability
E01005081,Score,1.643,Health Deprivation and Disability
E01004992,Score,0.775,Health Deprivation and Disability
E01004991,Score,0.348,Health Deprivation and Disability
E01004835,Score,-0.009,Health Deprivation and Disability
E01004986,Score,0.648,Health Deprivation and Disability
E01004922,Score,1.13,Health Deprivation and Disability
E01004941,Score,0.689,Health Deprivation and Disability
E01004985,Score,-0.396,Health Deprivation and Disability
E01005209,Score,1.979,Health Deprivation and Disability
E01005304,Score,1.113,Health Deprivation and Disability
E01004938,Score,1.222,Health Deprivation and Disability
E01005224,Score,1.231,Health Deprivation and Disability
E01004866,Score,1.902,Health Deprivation and Disability
E01004942,Score,1.434,Health Deprivation and Disability
E01005248,Score,0.63,Health Deprivation and Disability
E01005088,Score,2.567,Health Deprivation and Disability
E01005076,Score,1.327,Health Deprivation and Disability
E01004909,Score,1.068,Health Deprivation and Disability
E01005067,Score,2.376,Health Deprivation and Disability
E01004889,Score,0.573,Health Deprivation and Disability
E01004968,Score,-0.25,Health Deprivation and Disability
E01005053,Score,0.104,Health Deprivation and Disability
E01004887,Score,0.741,Health Deprivation and Disability
E01005228,Score,2.173,Health Deprivation and Disability
E01005213,Score,2.177,Health Deprivation and Disability
E01005219,Score,1.592,Health Deprivation and Disability
E01005260,Score,1.539,Health Deprivation and Disability
E01005070,Score,2.608,Health Deprivation and Disability
E01004895,Score,1.42,Health Deprivation and Disability
E01005254,Score,0.547,Health Deprivation and Disability
E01004850,Score,1.031,Health Deprivation and Disability
E01004845,Score,-0.164,Health Deprivation and Disability
E01004849,Score,0.771,Health Deprivation and Disability
E01004890,Score,0.34,Health Deprivation and Disability
E01004893,Score,-0.566,Health Deprivation and Disability
E01004844,Score,-0.861,Health Deprivation and Disability
E01004857,Score,1.223,Health Deprivation and Disability
E01004858,Score,1.082,Health Deprivation and Disability
E01004853,Score,1.229,Health Deprivation and Disability
E01004876,Score,1.401,Health Deprivation and Disability
E01004897,Score,0.116,Health Deprivation and Disability
E01005715,Score,-0.1,Health Deprivation and Disability
E01005722,Score,1.78,Health Deprivation and Disability
E01005692,Score,2.035,Health Deprivation and Disability
E01005707,Score,1.496,Health Deprivation and Disability
E01005765,Score,0.404,Health Deprivation and Disability
E01005706,Score,1.61,Health Deprivation and Disability
E01005338,Score,1.361,Health Deprivation and Disability
E01005350,Score,2.975,Health Deprivation and Disability
E01005331,Score,0.307,Health Deprivation and Disability
E01005336,Score,0.081,Health Deprivation and Disability
E01005356,Score,0.358,Health Deprivation and Disability
E01005358,Score,1.289,Health Deprivation and Disability
E01005351,Score,0.488,Health Deprivation and Disability
E01005795,Score,-0.448,Health Deprivation and Disability
E01005779,Score,0.499,Health Deprivation and Disability
E01005826,Score,1.664,Health Deprivation and Disability
E01005485,Score,1.834,Health Deprivation and Disability
E01005763,Score,1.664,Health Deprivation and Disability
E01005700,Score,0.914,Health Deprivation and Disability
E01005741,Score,-0.482,Health Deprivation and Disability
E01005733,Score,1.707,Health Deprivation and Disability
E01005755,Score,1.734,Health Deprivation and Disability
E01005693,Score,0.619,Health Deprivation and Disability
E01005681,Score,2.201,Health Deprivation and Disability
E01005363,Score,1.064,Health Deprivation and Disability
E01005412,Score,-0.332,Health Deprivation and Disability
E01005381,Score,1.386,Health Deprivation and Disability
E01005391,Score,-0.057,Health Deprivation and Disability
E01005427,Score,1.376,Health Deprivation and Disability
E01005246,Score,1.469,Health Deprivation and Disability
E01005416,Score,-0.026,Health Deprivation and Disability
E01005421,Score,0.978,Health Deprivation and Disability
E01005330,Score,-0.32,Health Deprivation and Disability
E01005243,Score,1.877,Health Deprivation and Disability
E01005278,Score,0.593,Health Deprivation and Disability
E01005283,Score,1.328,Health Deprivation and Disability
E01005255,Score,1.925,Health Deprivation and Disability
E01005285,Score,2.247,Health Deprivation and Disability
E01005274,Score,1.367,Health Deprivation and Disability
E01005388,Score,0.605,Health Deprivation and Disability
E01005808,Score,-0.703,Health Deprivation and Disability
E01005820,Score,1.01,Health Deprivation and Disability
E01005740,Score,-0.216,Health Deprivation and Disability
E01005735,Score,-0.011,Health Deprivation and Disability
E01005728,Score,0.663,Health Deprivation and Disability
E01005261,Score,2.191,Health Deprivation and Disability
E01005212,Score,1.506,Health Deprivation and Disability
E01005217,Score,0.575,Health Deprivation and Disability
E01005299,Score,0.743,Health Deprivation and Disability
E01005298,Score,0.997,Health Deprivation and Disability
E01004988,Score,0.206,Health Deprivation and Disability
E01004974,Score,-0.259,Health Deprivation and Disability
E01004987,Score,2.225,Health Deprivation and Disability
E01005030,Score,1.111,Health Deprivation and Disability
E01005060,Score,0.423,Health Deprivation and Disability
E01005063,Score,1.991,Health Deprivation and Disability
E01005016,Score,-0.114,Health Deprivation and Disability
E01005057,Score,-0.153,Health Deprivation and Disability
E01004932,Score,0.54,Health Deprivation and Disability
E01004905,Score,1.04,Health Deprivation and Disability
E01005697,Score,0.056,Health Deprivation and Disability
E01004903,Score,-0.316,Health Deprivation and Disability
E01004973,Score,0.046,Health Deprivation and Disability
E01004975,Score,0.656,Health Deprivation and Disability
E01005841,Score,-0.006,Health Deprivation and Disability
E01005196,Score,1.716,Health Deprivation and Disability
E01005133,Score,2.988,Health Deprivation and Disability
E01005143,Score,1.294,Health Deprivation and Disability
E01005175,Score,0.89,Health Deprivation and Disability
E01005207,Score,1.056,Health Deprivation and Disability
E01005001,Score,-0.143,Health Deprivation and Disability
E01005135,Score,1.851,Health Deprivation and Disability
E01005235,Score,2.076,Health Deprivation and Disability
E01005077,Score,1.99,Health Deprivation and Disability
E01005103,Score,1.974,Health Deprivation and Disability
E01005071,Score,2.305,Health Deprivation and Disability
E01005072,Score,2.194,Health Deprivation and Disability
E01005159,Score,0.65,Health Deprivation and Disability
E01005277,Score,0.204,Health Deprivation and Disability
E01005113,Score,2.075,Health Deprivation and Disability
E01004779,Score,0.674,Health Deprivation and Disability
E01004772,Score,0.788,Health Deprivation and Disability
E01005827,Score,0.132,Health Deprivation and Disability
E01005828,Score,2.192,Health Deprivation and Disability
E01005815,Score,-0.457,Health Deprivation and Disability
E01004766,Score,0.893,Health Deprivation and Disability
E01004793,Score,1.696,Health Deprivation and Disability
E01004790,Score,0.092,Health Deprivation and Disability
E01005836,Score,-0.018,Health Deprivation and Disability
E01004795,Score,1.781,Health Deprivation and Disability
E01004784,Score,-0.108,Health Deprivation and Disability
E01032912,Score,2.013,Health Deprivation and Disability
E01032915,Score,1.834,Health Deprivation and Disability
E01032922,Score,-0.112,Health Deprivation and Disability
E01032917,Score,1.259,Health Deprivation and Disability
E01033220,Score,2.386,Health Deprivation and Disability
E01033258,Score,1.104,Health Deprivation and Disability
E01032907,Score,1.724,Health Deprivation and Disability
E01032557,Score,1.597,Health Deprivation and Disability
E01032558,Score,1.41,Health Deprivation and Disability
E01032920,Score,0.973,Health Deprivation and Disability
E01033219,Score,-0.408,Health Deprivation and Disability
E01033330,Score,2.016,Health Deprivation and Disability
E01032906,Score,1.466,Health Deprivation and Disability
E01032687,Score,0.918,Health Deprivation and Disability
E01032559,Score,0.905,Health Deprivation and Disability
E01005244,Score,1.21,Health Deprivation and Disability
E01005216,Score,0.883,Health Deprivation and Disability
E01005157,Score,-0.189,Health Deprivation and Disability
E01005119,Score,1.719,Health Deprivation and Disability
E01005206,Score,1.878,Health Deprivation and Disability
E01005238,Score,0.983,Health Deprivation and Disability
E01005210,Score,1.328,Health Deprivation and Disability
E01005200,Score,1.39,Health Deprivation and Disability
E01005234,Score,1.4,Health Deprivation and Disability
E01005149,Score,1.131,Health Deprivation and Disability
E01005215,Score,0.871,Health Deprivation and Disability
E01004851,Score,1.417,Health Deprivation and Disability
E01004891,Score,-0.238,Health Deprivation and Disability
E01004884,Score,-0.265,Health Deprivation and Disability
E01004768,Score,-0.261,Health Deprivation and Disability
E01004792,Score,-0.159,Health Deprivation and Disability
E01004780,Score,0.062,Health Deprivation and Disability
E01004811,Score,1.735,Health Deprivation and Disability
E01004816,Score,0.581,Health Deprivation and Disability
E01004797,Score,1.065,Health Deprivation and Disability
E01004798,Score,1.098,Health Deprivation and Disability
E01005003,Score,1.065,Health Deprivation and Disability
E01004960,Score,1.975,Health Deprivation and Disability
E01005171,Score,0.312,Health Deprivation and Disability
E01005347,Score,0.152,Health Deprivation and Disability
E01004828,Score,0.943,Health Deprivation and Disability
E01005024,Score,1.505,Health Deprivation and Disability
E01004963,Score,0.325,Health Deprivation and Disability
E01005002,Score,0.259,Health Deprivation and Disability
E01005168,Score,0.136,Health Deprivation and Disability
E01005141,Score,2.436,Health Deprivation and Disability
E01005373,Score,0.323,Health Deprivation and Disability
E01005198,Score,1.949,Health Deprivation and Disability
E01005354,Score,0.586,Health Deprivation and Disability
E01005324,Score,1.934,Health Deprivation and Disability
E01005188,Score,1.113,Health Deprivation and Disability
E01005275,Score,0.442,Health Deprivation and Disability
E01005276,Score,1.292,Health Deprivation and Disability
E01005318,Score,2.186,Health Deprivation and Disability
E01005262,Score,1.506,Health Deprivation and Disability
E01004989,Score,-0.199,Health Deprivation and Disability
E01005302,Score,1.409,Health Deprivation and Disability
E01004965,Score,0.07,Health Deprivation and Disability
E01004977,Score,0.798,Health Deprivation and Disability
E01005263,Score,1.885,Health Deprivation and Disability
E01005410,Score,-0.266,Health Deprivation and Disability
E01005334,Score,-0.4,Health Deprivation and Disability
E01005270,Score,1.497,Health Deprivation and Disability
E01005369,Score,1.381,Health Deprivation and Disability
E01005378,Score,0.802,Health Deprivation and Disability
E01005269,Score,0.867,Health Deprivation and Disability
E01005087,Score,2.337,Health Deprivation and Disability
E01005073,Score,0.813,Health Deprivation and Disability
E01005075,Score,1.983,Health Deprivation and Disability
E01005101,Score,1.976,Health Deprivation and Disability
E01005111,Score,1.399,Health Deprivation and Disability
E01005094,Score,2.008,Health Deprivation and Disability
E01005099,Score,1.79,Health Deprivation and Disability
E01004930,Score,0.369,Health Deprivation and Disability
E01004917,Score,0.426,Health Deprivation and Disability
E01004823,Score,2.356,Health Deprivation and Disability
E01004827,Score,1.196,Health Deprivation and Disability
E01004935,Score,0.17,Health Deprivation and Disability
E01005078,Score,0.763,Health Deprivation and Disability
E01004954,Score,0.418,Health Deprivation and Disability
E01004933,Score,0.189,Health Deprivation and Disability
E01005061,Score,1.893,Health Deprivation and Disability
E01005042,Score,0.214,Health Deprivation and Disability
E01005050,Score,-0.021,Health Deprivation and Disability
E01005029,Score,0.387,Health Deprivation and Disability
E01005037,Score,0.292,Health Deprivation and Disability
E01005056,Score,-0.009,Health Deprivation and Disability
E01005058,Score,-0.241,Health Deprivation and Disability
E01005055,Score,-0.304,Health Deprivation and Disability
E01004872,Score,1.019,Health Deprivation and Disability
E01004847,Score,0.771,Health Deprivation and Disability
E01004862,Score,1.768,Health Deprivation and Disability
E01004789,Score,-0.018,Health Deprivation and Disability
E01004818,Score,1.362,Health Deprivation and Disability
E01004820,Score,1.612,Health Deprivation and Disability
E01004907,Score,0.996,Health Deprivation and Disability
E01004873,Score,1.108,Health Deprivation and Disability
E01004791,Score,-0.063,Health Deprivation and Disability
E01004826,Score,1.096,Health Deprivation and Disability
E01004802,Score,1.621,Health Deprivation and Disability
E01004803,Score,-0.269,Health Deprivation and Disability
E01004839,Score,1.551,Health Deprivation and Disability
E01004825,Score,1.159,Health Deprivation and Disability
E01004837,Score,-0.395,Health Deprivation and Disability
E01005966,Score,0.97,Health Deprivation and Disability
E01005972,Score,0.748,Health Deprivation and Disability
E01006032,Score,1.547,Health Deprivation and Disability
E01005970,Score,0.505,Health Deprivation and Disability
E01006027,Score,1.899,Health Deprivation and Disability
E01006008,Score,0.488,Health Deprivation and Disability
E01006046,Score,0.243,Health Deprivation and Disability
E01006031,Score,1.565,Health Deprivation and Disability
E01006003,Score,0.845,Health Deprivation and Disability
E01006004,Score,0.549,Health Deprivation and Disability
E01005928,Score,0.68,Health Deprivation and Disability
E01005979,Score,1.072,Health Deprivation and Disability
E01006021,Score,0.709,Health Deprivation and Disability
