registered_charity_number,charity_company_registration_number,charity_name,charity_type,charity_activities,date_of_registration,charity_contact_address,charity_contact_postcode,charity_contact_phone,charity_contact_email,charity_contact_web
1023052,NA,ABBOTSFORD PREPARATORY SCHOOL PARENT TEACHER ASSOCIATION,Other,"Activities to raise money for the school and promote the whole school experience for the children attending. Encourage interaction between parents, staff and pupils.",1993-06-24,"Abbotsford Preparatory School, 211 Flixton Road, Urmston, Manchester",M41 5PR,01617483261,abbotsfordpta@gmail.com,NA
1023147,NA,19TH BOLTON (BOLTON SCHOOL) SCOUT GROUP,Other,"Full Scout Group for Beavers, Cubs, Scouts and Explorers.Regular meetings for educational, sporting activities and scout training both in and outdoors to improve young peoples skills and well being.Annual camps both in the UK and abroad.",1993-06-25,"145 Cope Bank West, Bolton",BL1 6EJ,01204434735,NA,NA
1023891,NA,FRIENDS OF ROSEBANK SCHOOL,Other,"To advance the education of the pupils at Rosebank School, Barnton, specialising in the education of children with Autistic Spectrum Disorders.",1993-07-16,"Rosebank School, Townfield Lane, Barnton, Northwich",CW8 4QP,01606 74975,admin@rosebank.cheshire.sch.uk,www.rosebank.cheshire.sch.uk
1024232,NA,LONGFORD HALL PARK AND GARDENS CHARITABLE TRUST,Other,"CURRENTLY PROVIDES HISTORICAL  ARCHITECTURAL AND ARCHIVE INFORMATION RELATING TO LONGFORD PARK, JOHN RYLANDS AND LONGFORD HALL.",1993-07-27,"12 Milwain Road, Stretford, Manchester",M32 9BY,01618657279,stadtmuller@btinternet.com,NA
1024268,NA,COUNTY OF GREATER MANCHESTER WEST OF THE GUIDES ASSOCIATION,Other,"Girl Guiding in the areas of Trafford & Salford  helps girls to develop emotionally,mentally,physically and spiritually so that they can make a positive contribution to their community and the wider world.",1993-07-28,"7 Fairburn Close, Urmston, Manchester",M41 8DX,01617484687,county@gmwguiding.org.uk,www.guidinggmw.org.uk
1024274,NA,PRESTWICH LIONS CLUB CHARITY TRUST FUND,Other,"Collections, sales of donated items, car boot sales, other fundraising public events",1993-07-29,"14 Spring Vale, Prestwich, Manchester",M25 9SE ,07837898563,NA,
1024556,NA,URMSTON DIVISION GIRL GUIDES ASSOCIATION,Other,"Girlguiding Urmston Division, as part of a worldwide organisation, enables girls & young women to fulfil their potential & to take an active part in society, through a stimulating and enjoyable programme of activities delivered by trained volunteer leaders. We have Rainbows (aged 5-7), Brownies (aged 7-10), Guides (aged 10-14), Young Leaders (aged 14-18), Rangers (aged 14-18) and Inspire (18-30).",1993-08-04,"1 Wroxham Avenue, Urmston, Manchester",M41 5TE ,0161 7472349,GMWUrmston@gmail.com,NA
1026499,NA,TRAFFORD DEAF CHILDREN'S SOCIETY,Other,"The group aims to provide babies, children and young people with the opportunity to socialise in a fun, safe way ensuring their communication needs are met whilst also giving parents the chance to chat and share tips and support.",1993-09-24,"6 Brentwood Crescent, Altrincham",WA14 1NW,+44 7946415724,trafford@ndcsgroup.org.uk,http://www.ndcs.org.uk/family_support/support_in_your_area/local_groups/find_a_local_group/north_wes
1026541,02848940,SWINTON CHARITABLE TRUST LIMITED,Charitable company,The SCT makes grants to Registered Charities at the discretion of the Trustees.,1993-09-28,"2 Trevor Road, Swinton, Manchester",M27 0YH,01617941790,NA,NA
1026843,00111844,SAINT ANNES LONGSIGHT (ROYTON) BUILDING COMPANY LIMITED,Charitable company,Our only activity is to give the money (interest) from an investment to church and school at St Anne's.,1993-10-05,"150 Rochdale Road, Royton, Oldham",OL2 6QF,07706231537,NA,NA
1027715,NA,3RD ALTRINCHAM (GRAMMAR SCHOOL) SCOUT GROUP,Other,Scouting,1993-10-27,"5 Acacia Avenue, Hale, Altrincham",WA15 8QX,01619280813,thesmiths400@gmail.com,https://www.3rdaltrinchamscouts.co.uk/
1028464,02802745,AFRICAN CARIBBEAN CARE GROUP,Charitable company,"The principal activity of the African Caribbean Care Group is to promote the welfare of older people of African Caribbean descent, in Manchester, Trafford and neighbouring districts, by  providing care services, advancing education and promoting the physical, social and mental health of the beneficiaries.",1993-11-12,"African Caribbean Care Group, Claremont Centre, 2 Jarvis Road, Manchester",M15 5FS,01612266334,admin@accg.org.uk,www.accg.org.uk
1030035,NA,ROTARY CLUB OF IRLAM TRUST FUND,Other,Relief of poor & needy or other charitable purposes,1993-12-10,"Alpine View, Mytholme Avenue, Cadishead, Manchester",M44 5UH,0161 222 4003,mail@irlamrotary.org.uk,www.irlamrotary.org.uk
1032092,NA,"NAVIGATION PRIMARY SCHOOL P.T.A., ALTRINCHAM",Other,"To provide funds to purchase items for the education and enjoyment of pupils of the school.Fundraising activities have included for example bake sales, discos, Christmas Fair, Spring Fair, clothes and foreign coin donations.Items funded within the school have included for example classroom equipment, visits to school to support curriculum and sporting equipment for school teams and sports.",1994-02-02,"Navigation Primary School, Hawarden Road, Altrincham, Cheshire",WA14 1NG,0161 9125937,navigationpta@yahoo.co.uk,www.navigationpta.co.uk
1034690,02899281,ALTRINCHAM GARRICK SOCIETY LIMITED,Charitable company,Promotion of drama within the local community.,1994-03-08,"Garrick Playhouse, Barrington Road, Altrincham",WA14 1HZ,01619281677,NA,www.altrinchamgarrick.co.uk
1035148,NA,SPRINGFIELD PRIMARY SCHOOL PARENT TEACHERS ASSOCIATION,Other,Parent fund raising activites.,1994-03-17,"Springfield Primary School, Springfield Road, Sale",M33 7XS,0161 973 4149,chairspringfieldpta@gmail.com,www.springfieldprimarysale.co.uk
1035658,NA,ROTARY CLUB OF WORSLEY CHARITABLE TRUST,Trust,To raise funds from within our Community to be distributed within the Community to those who are felt would benefit or to be spent overseas in line with RIBI & RI aims and objects,1994-03-28,"1 Fern Clough, Bolton",BL1 5DX,07973296669,john.leyland@icloud.com,www.worsleyrotary.co.uk
1036504,NA,THE MAURICE AND PEARL ESTERKIN CHARITABLE TRUST,Trust,Such charitable objects as the trustees in their absolute discretition think fit.,1994-04-18,"45 Carrwood, Hale Barns, Altrincham",WA15 0EN,01619047708,NA,NA
1036651,NA,FRIENDS OF PARK ROAD SCHOOL(TIMPERLEY),Other,"To raise funds for the benefit of the pupils and community of Park Road Academy Primary School, Timperley.",1994-04-19,"Park Road Primary School, Frieston Road, Timperley, Altrincham, Cheshire",WA14 5AP,01619724820,friendsofparkroad@gmail.com,NA
1037308,NA,PARK ROAD PLAYGROUP,Other,To provide Early Years Care and Education for pre-school children aged 2years - 5 years.,1994-05-09,"Friends Meeting House, Park Road, Sale",M33 6WX,07926078766,parkroadplaygroupsale@yahoo.co.uk,quakermeetinghouseparkroad.m336wx
1038063,NA,SKCV CHILDREN'S TRUST (UK),Other,"Our principal activities are the relief of poverty, sickness and distress, the advance of education and the preservation and protection of the health of destitute children anywhere in the world and in particular, but not exclusively, India.",1994-05-26,"9 Hazelwood Road, Hale, Altrincham",WA15 9AX,01619282758,trustees@skcv.org,skcv.org
1038280,NA,THE SALE U3A,Other,"Provides educational, social & cultural pursuits for members of the community no longer in full time employment.",1994-06-02,"Sale Moor Community Centre, Norris Road, Sale",M33 2TN,01619730113,secretary.u3asale@gmail.com,www.u3asites.org.uk/sale
1038999,02866202,KADAMPA MEDITATION CENTRE MANCHESTER,Charitable company,Providing classes on Meditation and Buddhism within the Greater Manchester area,1994-06-27,"Vairochana Buddhist Centre, 76 High Lane, Manchester",M21 9XF ,01618617012,info@kmcmanchester.org,www.kmcmanchester.org
1039253,NA,Tashbar of Manchester,Trust,"Providing recreational and leisure time activity in the interests of social welfare for young people who have need by reason of their youth, disablity or social and economic circumstances with a view to improving the conditions of life of such persons.The furtherance of authentic Jewish religious education.",1994-07-06,"17 Stanley Road, Salford",M7 4EG  ,01617402993,NA,NA
1039283,NA,CHARITY COMPRISING PROCEEDS OF SALE OF MANCHESTER GERMAN PROTESTANT CHURCH,Other,"Our area of operation is shown as Trafford because we share the same address as Martin Luther Kirche Charity number 1092327 and we are the resource body for this charity. Our classification is mainly indirect. The majority of our grants are channelled directly to 1092327, thus enabling them to provide funds in line with their own classification.",1994-07-07,"9 Park Road, Stretford, Manchester",M32 8FE,01618651335,Charity1039283@deutschekirche.org.uk,http://deutschekirche.org.uk/
1040083,NA,ROYAL MANCHESTER CHILDREN'S HOSPITAL GENETICS TRUST (GEM APPEAL),Other,Holds events to generate funds to find cures for incurable genetic diseases.,1994-08-10,"53 Waingap Rise, Rochdale",OL12 9UB,01706523257,garry.whitworth@ntlworld.com,www.gemappeal.org.uk
1040167,NA,INDIAN SENIOR CITIZEN'S CENTRE (MANCHESTER),Other,"Provides culturally sensitive Day Resource Services for the Indian older people of city wide Manchester and surrounding areas. These include basic Day Care i.e. transport, hot Indian meals, entertainment activities,  library, shopping, monthly coach trips, preventative health and rehabilitation services, information & advice.",1994-08-16,"16-18 Whalley Road, Manchester",M16 8AB,01612320999,iscc@talk21.com,iscc-manchester.org
1040173,NA,THE SELNEC EDUCATIONAL TRUST,Other,"The storage, preservation and rectification of buses principally designed, developed and operated by the Selnec PTE, GMPTE and G.M. buses covering the Greater Manchester area many examples of which were built in Wigan.",1994-08-16,"220 Adswood Road, Stockport",SK3 8PB,01612858289,membership@selnec.org.uk,www.selnec.org.uk
1040374,NA,STRETFORD YOUTH THEATRE TRUST,Other,The charity operates within the Greater Manchester area by awarding financial assistance to individuals and organisations who want to gain experience in the dramatic and allied performing arts. Organisations may benefit if producing shows for children and young people.,1994-08-24,"33 Fulmar Drive, Sale",M33 4WH,01619625095,sytt@live.co.uk,NA
1040579,NA,THE GREATER MANCHESTER HIGH SHERIFF'S POLICE TRUST,Other,The Trust provides grants to projects designed to fight crime and the fear of crime in Greater Manchester.,1994-09-05,"Greater Manchester Police, Force Headquarters, 5th Floor, Central Park, Nothampton Road, Manchester",M40 5BP,01618561144,HIGHSHERIFF.TRUST@GMP.POLICE.UK,www.gmhspt.org
1040653,NA,PENGUIN PLAYGROUP (TIMPERLEY),Other,Pre School Education,1994-09-07,"Holy Cross Church, Park Road, Timperley, Altrincham",WA15 6QG,07944123350,info@penguinpreschool.org,www.penguinpreschool.org
1040791,NA,THE TIMPERLEY WOMEN'S CLUB,Other,"To advance education and to provide facilities for recreation and other leisure time occupation in the interests of social welfare with the object of improving life for women in the area of benefit without distinction of political, religious or other opinions.",1994-09-14,"63 Rossett Avenue, Timperley, Altrincham",WA15 6EU,0161 969 3746,joan.chorlton@homecall.co.uk,TheTimperleyWomens.Club
1040800,NA,DAVID MURRAY MEMORIAL FUND FOR METABOLIC DISORDER AT ROYAL MANCHESTER CHILDREN'S HOSPITAL PENDELBURY,Other,support for research and or equipment for the treatment of metabolic disorders,1994-09-15,"5 Shelley Way, West Kirby, Wirral",CH48 3LQ,01516250454,alex45@aol.com,NA
1041322,NA,NORTHERN RHEUMATIC DISEASES UNIT RESEARCH FUND,Other,research,1994-10-06,"Calderbank Medical, 599 Wilmslow Road, Manchester",M20 3QD,01614459434,NA,NA
1042185,NA,SALE DISTRICT SCOUT COUNCIL,Other,"THE PURPOSE OF SCOUTING IS TO PROMOTE THE DEVELOPMENT OF YOUNG PEOPLE IN ACHIEVING THEIR FULL PHYSICAL, INTELLECTUAL, SOCIAL AND SPIRITUAL POTENTIALS, AS INDIVIDUALS, AS RESPONSIBLE CITIZENS AND AS MEMBERS OF THEIR LOCAL, NATIONAL AND INTERNATIONAL COMMUNITIES.",1994-11-21,"6 Gloucester Drive, Sale",M33 5DH,01619694973,NA,NA
1042997,NA,STAMFORD PARK INFANT SCHOOL PARENT SUPPORT GROUP,Other,The charity exists to raise money to support Stamford Park Infants School and to create social links between parents and between parents and the school. This is done mainly by organising events such as an annual Auction of pledges and a Summer Fun Day.,1994-12-22,"17 Welman Way, Altrincham",WA15 8WE,07824999749,psg.spis@gmail.com,NA
1043424,NA,ROTARY CLUB OF DUKINFIELD AND STALYBRIDGE TRUST FUND,Trust,Rotary Charities,1995-01-17,"78 Cornfield, Stalybridge",SK15 2UB,01457765372,NA,NA
1043614,NA,CHASDEI DEVORAH,Trust,TO PURSUE THE OBJECTS OF THE CHARITY WITH ALL THE RESOURCES AVAILABLE TO THE CHARITY.,1995-01-25,"15 Brantwood Road, Salford",M7 4EN,01617922330,NA,NA
1043860,NA,FRIENDS OF TEMPLEMOOR,Other,general fundraising : fairs and sales,1995-02-03,"Templemoor Infant School, Nursery Close, Sale",M33 2EG,0161 969 1622,templemoorfot@gmail.com,www.templemoorinfants.co.uk
1044118,NA,ST SAVIOUR RINGLEY C OF E PRIMARY SCHOOL PARENT TEACHER ASSOCIATION,Other,"fUND RAISING EVENTS HELD IN SCHOOL TO RAISE FUNDS FOR SCHOOL SUPPLIES AND CHILDRENS' REWARDS. cHRISTMAS fAYRE, SUMMER BBQ, RAFFLES, QUIZ NIGHT, EASTER EGG BINGO ETC",1995-02-14,"St Saviour Cofe Primary School, Fold Road, Radcliffe",M26 1EU,012044333437,NA,NA
1044383,03013730,THE CHESHIRE FEDERATION OF WOMENS INSTITUTES,Charitable company,"The WI plays a unique role in providing women with educational opportunities and the chance to build new skills, to take part in a wide variety of activities and to campaign on issues that matter to them and their communities.The WI is a democratic, non-sectarian and non-party political organisation.",1995-02-22,"11 White Friars, Chester",CH1 1NZ,01244347462,info@cheshirewi.org.uk,www.cheshirewi.org.uk
1044655,NA,FLIXTON CHILDMINDING GROUP,Other,Provide activities for young children attending Flixton Childminders,1995-03-07,"14 Balmain Road, Urmston, Manchester",M41 5TF ,07979814838,lisajwhelan@live.co.uk,NA
1044759,02973233,MANCHESTER DENTAL EDUCATION TRUST,Charitable company,Provides and promotes postgraduate education and continuing professional development to all members of the Dental Team.,1995-03-06,"The School Of Dentistry, University Of Manchester, Higher Cambridge Street, Manchester",M15 6FH,0151 348 8400,NOL@MOCO.CO.UK,NA
1044780,NA,THE PARENT TEACHER ASSOCIATION OF ALDWYN COUNTY PRIMARY SCHOOL,Other,fund raising for pupils at listed school,1995-03-07,"Aldwyn Primary School, Lumb Lane, Audenshaw, Manchester",M34 5SF,0161 370 3626,NA,NA
1044952,NA,CELESTIAL CHURCH OF CHRIST NORTH WEST (MANCHESTER) PARISH,Other,"This is a church, member come to church on sundays to pray to God.Weekly collections -?170 X 52 = -?8,840 (please note number f regular attendees has decreased recently)Additional income i.e gift to the church -??100 to ?200Expenditure all the outgoing i.e th e Utilities bills, Church requirements Building and travelling expenses for the shepherd and other church members -??5,000",1995-03-14,"1 Parkfield Street, Off Moss Lane East, Rusholme, Manchester",M14 4BP,01612242037,NA,NA
1045296,NA,OIZER DALIM TRUST,Other,unchanged,1995-03-27,"68 Osbaldeston Road, London",N16 7DR,02088069111,,NA
1045428,NA,9TH SALE SCOUT GROUP (ST ANNES C OF E),Other,Provision of Scouting instruction and Activities,1995-03-30,"7 Dixon Close, Sale",M33 3JU,07875762463,saledistrictltm@gmail.com,http://9thsalecubs.co.uk/
1045500,NA,ST HUGH'S CATHOLIC PRIMARY SCHOOL (TIMPERLEY) PARENT TEACHER ASSOCIATION,Other,"Fireworks Evening, Christmas Fair, Summer Fair and BBQ, School Discos, Family Fun Nights, Quiz Nights, Camping Nights and Other Activities",1995-03-31,"St. Hughs Catholic Primary School, Park Road, Timperley, Altrincham",WA15 6TQ,07500 046 349,ptaoffice@sthughspta.org,www.sthughspta.org
1045583,NA,WILTON STREET CHAPEL DENTON,Other,Ecclesiastical organisation,1995-04-05,"5 Marslands, Diggle, Oldham",OL3 5LQ,01457829056,NA,http://www.ukunitarians.org.uk/denton
1045791,NA,NEW LIFE COMMUNITY CHURCH TRUST STOCKPORT,Other,"See Trustees Report in Financial Accounts for year ended 31st March 2014, for full description of current activities. Image (pro life) Protem Christian Counselling, Stockport Prayer Network, Cutting Edge Ministries, Aglow International, World Trumpet Centre- Uganda, Christian Restoration Ministries Uganda, Pastor Parel Singh and his family, Bilaspur, India, Ground Level Network of Churches.",1995-04-12,"24 Argyle Street, Hazel Grove, Stockport",SK7 4ET,01614569137,general.booth@aol.co.uk,NA
1045869,NA,ZAKARIA MASJID AND TABLIGHI CENTRE'S TRUST,Other,The charity provides education to children and elders. The charity helps individuals and organisations and provide space for religious events etc.The charity also provide grants to other needy organisations and also provide human resource services.,1995-04-20,"Zakaria Mosque, 22-24 Clarendon Road, Whalley Range, Manchester",M16 8LD,07855956994,NA,NA
1046309,NA,BEIS MENACHEM CHABAD LUBAVITCH,Other,"FURTHERENCE OF ORTHODOX JEWISH EDUCATION, RELIEF OF POVERTY AND ANY OTHER CHARITABLE ACTIVITY",1995-05-11,"Beis Menachem, Park Lane, Salford",M7 4JD,03003020132,rabbi@beismenachem.org.uk,www.beismenachem.org.uk
1046713,NA,FRIENDS OF LISBURNE SCHOOL,Other,Raising money for special needs children,1995-05-25,"Lisburne School, Half Moon Lane, Stockport",SK2 5LB,07763525801,headteacher@lisburneschool.stockport.sch.uk,www.lisburneschool.stockport.sch.uk/
1047248,NA,ROTARY CLUB OF KNUTSFORD TRUST FUND,Trust,"To provide services and raise Funds for the benefit of the Community, local, national and international, as the club may agree from time to time.",1995-06-15,"7 Rutherford Drive, Knutsford",WA16 8GX,01565634717,rot666mark@gmail.com,WWW.KNUTSFORDROTARYCLUB.CO.UK
1047321,03061994,FREEBEE FOUNDATION LTD,Charitable company,Interest free loans Small grants,1995-06-16,"1st Floor, 47 Bury New Road, Prestwich, Manchester",M25 9JY,01617720099,NA,NA
1047356,NA,SALE EAST CHILDMINDING ASSOCIATION,Other,"Childminders meet with the children they mind, and whilst the children play or engage in adult led activities, the childminders have the opportunity to swap information and up-to-date legislation, and to meet with members of Trafford Sure Start Team or the Children's Centre.",1995-06-20,"13 Dixon Close, Sale, Cheshire",M33 3JU,01612833412,NA,NA
1047444,NA,BRISTOWE STREET PLAYGROUP,Other,CARING FOR PRE SCHOOL CHILDREN AND PROVIDING EDUCATIONAL ACTIVITIES,1995-06-22,"14 Bristowe Street, Manchester",M11 4LW,01612209895,BRISTOWEST@HOTMAIL.CO.UK,14bristowestclayton.manchester
1047456,NA,NEW WELLINGTON SCHOOL PSA,Other,Fundraising and events are organised to raise money to be used for school items such as contributions to the purchase of minibuses for out of school activities.,1995-06-23,"Wellington School, Wellington Road, Timperley, Altrincham",WA15 7RH,01619284157,admin@wellington.trafford.sch.uk,www.wellington-school.co.uk
1047666,NA,105TH MANCHESTER SCOUT GROUP,Other,Camping and Outdoor Adventures,1995-06-30,"159 Victoria Avenue East, Manchester",M9 6HL,01617404834,gary.hollingsworth@btinternet.com,NA
1048001,NA,SALE ST MARY'S PARENT TEACHER ASSOCIATION,Other,This charity raises money for facilites and equipment supporting children's education at St Marys CofE school in Sale,1995-07-17,"St. Marys Primary School, St. Marys Road, Sale, Cheshire",M33 6SA,07709423386,stmaryspta.finance@gmail.com,NA
1048037,NA,THE RADCLIFFE MALE VOICE CHOIR,Other,"Singing training to male members, giving concerts to support other charitable and community based organisations.",1995-07-17,"48 Freckleton Drive, Bury",BL8 2JA,07856181428,mandlmercer@btinternet.com,www.radcliffemalevoicechoir.co.uk
1048267,NA,RINGWAY ROUND TABLE NUMBER 857 CHARITY ACCOUNT,Other,Currently non-active,1995-07-27,"55 Framingham Road, Sale",M33 3RH,01617180553,NA,NA
1048469,NA,Rowan Tree Primary School Fund,Other,We are a Primary Special Needs School which deals with children with complex needs 2 - 10 years of age,1995-08-07,"Rowan Tree Primary School, Greenhall Close, Atherton, Manchester",M46 9HP,01942883928,enquiries@admin.rowantree.wigan.sch.uk,www.rowantree.wigan.sch.uk
1048525,NA,OAKWOOD HIGH YOUTH CLUB,Other,"Oakwood Youth Club operates in the Greater Manchester Area (predominantly Salford). Providing social and recreational activities for young people with learning disabilities. It is a voluntary club, with extensive experience in providing quality experiences in the arts, sports, outdoor pursuits and general lifeskill opportunities.",1995-08-09,"Oakwood Academy, Chatsworth Road, Eccles, Manchester",M30 9DY ,NA,emckinnell@oakwoodacademy.co.uk,www.youcan.me.uk
1048581,03053689,MANCHESTER CITY GALLERIES TRUST,Charitable company,Advancement of education in British and foreign history of the arts.,1995-08-11,"Manchester Art Gallery, Mosley Street, Manchester",M2 3JL,07917553040,jo.beggs@manchester.gov.uk,www.manchesterartgallery.org
1048762,NA,THE SALT COMMUNITY,Trust,"Currently small group activities in homes and larger gatherings, from time to time in hired church hall.  Meeting needs of impoverished local people when the opportunity arises out of individual funds.",1995-08-23,"3 Wadebridge Avenue, Manchester",M23 9LS,01619052555,phewitt1@btconnect.com,NA
1048853,NA,WESTWOOD FORUM,Other,NA,1995-08-25,"3 Hurst Street, Oldham",OL9 6AU,NA,NA,NA
1049257,NA,ST GABRIELS MEDICAL CENTRE CHARITABLE TRUST,Trust,"General practice, providing services to the community..",1995-09-18,"39 New Road, Anderton, Northwich",CW9 6AE,01606783438,BUCCG.SGMC@nhs.net,NA
1049259,NA,NK THEATRE ARTS,Other,"Provides Weekly Workshops in Music, Dance and Drama to anyone aged 5yrs to adults.  Fully inclusive regardless of any ability, disability, status or culture.  Public Performances are also presented.  Theatre in Education, Corporate Training, Performing Arts Venue.",1995-09-18,"The Forum Theatre, Compstall Road, Romiley, Stockport, Cheshire",SK6 4EA,01614306570,darren@NKTHEATREARTS.ORG.UK,www.nktheatrearts.org.uk
1049274,NA,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST CHARITY,Other,"The Charity activities include improvements to the patient environment ,delivery of healthcare and a commitment to provide funding for research , training and education.Allocated expenditure in the year was used on the following categories ; 28% research , 16% patient related ,14% staff related and contributions to capital of 42% which were spent on equipment and refurbishments.",1995-09-19,"Citylabs, Nelson Street, Manchester",M13 9NQ,01612766199,NA,www.mftcharity.org.uk
1049672,NA,Y W C A PLAYGROUP,Other,"To provide secure, supervised playgroup facilities for pre-school children over the age of 1.5years to the age of 5 years, at an affordable price.  The playgroup operates five mornings and 3 afternoons a week for a period of 3 hours and can take a maximum of 29 children per session.  4 places are reserved for children whose circumstances render them in need of a place should the situation arise.",1995-10-06,"St Georges Church Hall, Church Walk, Altrincham",WA14 4TT,07837273357,hello@happykidsaltrincham.co.uk,happykidsaltrincham.co.uk
1050432,NA,Manchester Round Table,Other,"Part of The National Association of Round Tables Britain and Ireland.Fundraising in local area ( Cheadle,Gatley, Sale and South Manchester in general)Proceeds of fundraising usually given to local good causes including individuals on application.",1995-11-06,"1 Cumberland Road, Sale",M33 3FR,01612820441,manchester@roundtable.org.uk,manchester.roundtable.co.uk
1050663,NA,THE MANCHESTER CIVIC SOCIETY,Other,"INCREASING AWARENESS OF THE HERITAGE AND CHARACTER OF MANCHESTER AND WHERE THERE IS NO LOCAL CIVIC SOCIETY IN THE LOCALITY, FOR THE GREATER MANCHESTER AREA AS A WHOLE. TO ENSURE THAT FUTURE DEVELOPMENT IS GOOD ENOUGH FOR MANCHESTER AND WHERE APPROPRIATE GREATER MANCHESTER, IN ACCORD WITH THE GREAT TRADITIONS OF THE AREA OF WHICH WE FOSTER A KEEN SENSE OF PRIDE FOR THE PLACE AND ITS PEOPLE",1995-11-14,"8 Cemetery Road, Audenshaw, Manchester",M34 5AH ,01614802224,info@manchestercivic.org.uk,www.manchestercivic.org.uk
1051328,NA,FRIENDS OF WELLFIELD JUNIOR SCHOOL,Other,"Fundraising parent/teacher association for Wellfield Junior School, Sale.",1995-12-08,"Wellfield Junior School, Dumber Lane, Sale",M33 5QX,01619123685,wellfieldfriends@gmail.com,https://wellfieldjunior.trafford.sch.uk
1052361,NA,THE PHILHARMONIC CHOIR OF MANCHESTER,Other,"To advance the education of the public by promoting the study and practice of choral music and allied arts in order to foster public knowledge and appreciation of such music and arts by means of public performances, and to make donations to other charitable bodies providing services to the local community.",1996-01-27,"9 Hurst Avenue, Cheadle Hulme, Cheadle",SK8 7PQ ,07786062252,memberships@philchoir.org.uk,www.philchoir.org.uk
1052551,NA,CARMEL CHRISTIAN CENTRE,Other,CARMEL YOUTH- FOR YOUNG PEOPLE -   ACTIVITIES FOR THEM TO DEVELOP PHYSICALLY/EMOTIONALLY AND SPIRITUALLY. SUNDAY SCHOOL FOR CHILDREN AGED 3-10. Dynamite Dads - providing a space for dads to learn and play with their kidsA DEBT CENTRE IN PARTNERSHIP WITH CHRISTIANS AGAINST POVERTY GIVING DEBT ADVICE on AND ALSO WORKING WITH PEOPLE DEALING WITH VARIOUS ADDICTIon,1996-02-05,"Seymour Street, Denton, Manchester",M34 3PF,01613207308,message.carmel@gmail.com,www.carmelcc.org.uk
1052555,NA,BETHEL CHRISTIAN CENTRE,Trust,CHRISTIAN TEACHING,1996-02-05,"King Street, Droylsden, Manchester",M43 6TR,0161 370 0330,ADMIN@THEDREAMCENTRE.CO.UK,NA
1052568,NA,THE RULERS CHURCH,Trust,The furtherance of Christianity and the Christian education.Provision of suitable atmosphere where the Christian principles can be taught and developed within our community.The relief of poverty,1996-02-05,"9 Chippenham Road, Ancoats, Manchester",M4 6FF  ,01612058419,info@dominion-chapel.org,www.dominion-chapel.org
1052588,NA,CHRIST CHURCH (ASSEMBLIES OF GOD),Other,"The advancement of the Christian Religion by the proclamation and furtherance of the Good News of God concerning His Son Jesus Christ the Lord and the preaching and teaching of the Bible, the Word of God Such other charitable purposes as shall further the attainment of the above objects of the Church or as laid down in the Bible.",1996-02-05,"The Flat  Christchurch A O G, Fraser Street, Pendlebury, Swinton, Manchester",M27 4DH,07840194385,cchm27@btconnect.com,www.christchurchm27.org.uk
1052592,NA,LIFE CHANGE COMMUNITY CHURCH,Trust,RELIGIOUS ACTIVITY,1996-02-05,"12 Mackintosh Way, Oldham",OL1 3EA ,07796477684,,NA
1052608,NA,AUTHENTIC CITY CHURCH,Trust,The advancement of the Christian Religion by the proclamation and furtherance of the gospel of our Lord Jesus Christ,1996-02-05,"Authentic City Church, Crowcroft Road, Longsight, Manchester",M12 4QD,01612244437,info@authenticcitychurch.uk,www.authenticcitychurch.uk
1052745,NA,WYTHENSHAWE COMMUNITY CHURCH,Trust,Wythenshawe Community Church and Wythenshawe Youth and Community Centre provides services for the community.  We aim to improve the social wellbeing of all members of the community and in so doing fulfilling the Lord's commandments.,1996-02-08,"94 Crossacres Road, Wythenshawe, Manchester",M22 5BS,01614370303,wythenshawecc@live.com,www.wythenshawecommunitychurch.org
1052753,NA,IMPACT COMMUNITY CHURCH,Trust,"The purpose of Impact Community Church, and associated ministries including RDS Ministries and The Lighthouse is the furtherance of the Christian faith and social action within the local community, to reach out to family's and to help restore hope in the area of North West Manchester.",1996-02-08,"Impact Community Church, St. James Church, Byron Street, Oldham",OL8 4QT,07772460520,info@impactchurch.co,www.impactchurch.co
1053838,NA,CHESTER ADULT PHAB CLUB,Other,"VOLUNTEER LED SOCIAL CLUB FOR ADULTS WITH AND WITHOUT DISABILITIES - PATRONS WARWICK DAVIS & ACTRESS CHERYLEE HOUSTON, IZZY ARMSTRONG CORONATION STREET.JUNE 2012, WE RECEIVED THE QUEENS AWARD FOR VOLUNTARY SERVICE, THE MBE FOR VOLUNTEER GROUPS.PROVIDE LIVELY MONTHLY CALENDAR OF EVENTS, ACCESSIBLE TO ALL.  MEMBERS 18+, OVER 70 MEMBERS.CLUB AFFILIATED TO PHAB NATIONAL - REG CHARITY NO. 283931",1996-03-19,"2 Pinfold Lane, Handbridge, Chester",CH4 7EQ ,07828571952,lynda.hesketh@sky.com,www.chesteradult.phab.org.uk
1053962,03168108,THE LOWRY CENTRE TRUST,Charitable company,"The encouragement of the arts and the promotion of arts education by presenting a diverse, wide-ranging programme of events, exhibitions and activities",1996-03-22,"The Lowry, Pier, 8 The Quays, Salford",M50 3AZ,01618762023,info@thelowry.com,www.thelowry.com
1054096,NA,OLD MOAT YOUTH OUTREACH PROJECT,Other,"Provision of advice and information to young peopleDiversionary leisure and recreational activitiesSupport for young people with educational, behavioural and personal issues",1996-03-27,"23 Victoria Avenue, Levenshulme, Manchester",M19 2PE,01612487781,Oldmoatyop@gmail.com,NA
