name,address,postcode,type,email,website,area_name,area_code,lon,lat
Woodsend Library,"Woodsend Road, Flixton",M41 8GN,Local authority run library,urmston.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/woodsend-library.aspx,Trafford,E08000009,-2.393166,53.453354
Ashton Library,"Wigan Road, Ashton-in-Makerfield",WN4 9BH,Local authority run library,Ashton.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Ashton-Library.aspx,Wigan,E08000010,-2.639917,53.489828
Aspull Library,"Oakfield Crescent, Aspull",WN2 1XJ,Community run library,Aspull.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Aspull-Library.aspx,Wigan,E08000010,-2.585547,53.570329
Atherton Library,"York Street, Atherton",M46 9JH,Local authority run library,Atherton.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Atherton-Library.aspx,Wigan,E08000010,-2.487458,53.525881
Golborne Library,"Tanner's Lane, Goldborne",WA3 3AW,Local authority run library,Golborne.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Golborne-Library.aspx,Wigan,E08000010,-2.596268,53.475877
Hindley Library,"First Avenue, Hindley",WN2 3EB,Local authority run library,Hindley.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Hindley-Library.aspx,Wigan,E08000010,-2.579414,53.533704
Hope Community Library,"2, The Community Complex, Highfield Grange, Winstanley",WN3 6GH,Community run library,hope.library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Hope-Community-Library.aspx,Wigan,E08000010,-2.655018,53.522012
Ince Library,"Ince Community Centre, Mancherster Road",WN2 2DJ,Local authority run library,Ince.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Ince-Library.aspx,Wigan,E08000010,-2.604008,53.543362
Lamberhead Green Library,"Abraham Guest Academy, Greenhey, Orrell",WN5 0DQ,Local authority run library,Lamberhead.library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Lamberhead-Green-Library.aspx,Wigan,E08000010,-2.686934,53.541593
Leigh Library,"Civic Square, Leigh",WN7 1EB,Local authority run library,Leigh.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Leigh-Library.aspx,Wigan,E08000010,-2.520028,53.497772
Marsh Green Library,"Harrow Road, Marsh Green",WN5 0QL,Local authority run library,Marshgreen.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Marsh-Green-Library.aspx,Wigan,E08000010,-2.667437,53.549263
Platt Bridge Library,"Rivington Avenue, Platt Bridge",WN2 5NG,Local authority run library,plattbridge.library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Platt-Bridge-Library.aspx,Wigan,E08000010,-2.595925,53.522279
Shevington Library,"Gathurst Lane, Shevington",WN6 8HA,Local authority run library,Shevington.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Shevington-Library.aspx,Wigan,E08000010,-2.694238,53.571105
Standish Library,"Cross Street, Standish",WN6 0HQ,Local authority run library,Standish.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Standish-Library.aspx,Wigan,E08000010,-2.662627,53.586241
Tyldesley Library,"Stanley Street, Tyldesley",M29 8AH,Local authority run library,Tyldesley.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Tyldesley-Library.aspx,Wigan,E08000010,-2.467963,53.514454
Wigan Library,"Wigan Life Centre, The Wiend",WN1 1NH,Local authority run library,Wigan.Library@wigan.gov.uk,https://www.wigan.gov.uk/Resident/Libraries/Wigan-Library.aspx,Wigan,E08000010,-2.630374,53.545536
