site_id,site_name,facility_type,access_type,facility_areas_on_site,street,town,postcode,telephone,email,website,nursery,first_aid_room,cycle_park,car_park,car_park_capacity,disability_parking,disability_finding_reaching_entrance,disability_reception_area,disability_activity_area,disability_social_areas,disability_spectator_areas,disability_doorways,disability_emergency_exits,disability_toilets,disability_changing_facilities,disability_notes,ward_code,ward_name,msoa_code,lsoa_code,oa_code,lon,lat,site_last_updated_date
1011521,Crossford Bridge,Grass pitches,Sports Club / Community Association,11,Danefield Road,Sale,M33 7WR,0161 905 3088,office@saleunitedfc.co.uk,NA,No,Yes,Yes,Yes,125,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015254,Sale Central,E02001270,E01006165,E00031230,-2.314497,53.43332,2024-08-02
1011521,Crossford Bridge,Health and fitness gym stations,Sports Club / Community Association,8,Danefield Road,Sale,M33 7WR,0161 905 3088,office@saleunitedfc.co.uk,NA,No,Yes,Yes,Yes,125,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015254,Sale Central,E02001270,E01006165,E00031230,-2.314497,53.43332,2024-08-02
30004776,Dainewell Park,Grass pitches,Free Public Access,2,Hornbeam Close,Sale,M33 5LJ,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,No,No,Yes,No,No,No,No,No,No,NA,E05015244,Bucklow-St Martins,E02001275,E01006107,E00030919,-2.358336,53.42625,2025-05-20
1001039,David Lloyd (Manchester Trafford City),Health and fitness gym stations,Registered Membership use,360,Barton Embankment,Manchester,M17 8RH,0161 749 2000,manchester@davidlloyd.co.uk,http://www.davidlloyd.co.uk,Yes,No,Yes,Yes,359,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001260,E01006121,E00030982,-2.359969,53.46994,2025-04-02
1001039,David Lloyd (Manchester Trafford City),Indoor tennis courts,Registered Membership use,8,Barton Embankment,Manchester,M17 8RH,0161 749 2000,manchester@davidlloyd.co.uk,http://www.davidlloyd.co.uk,Yes,No,Yes,Yes,359,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001260,E01006121,E00030982,-2.359969,53.46994,2025-04-02
1001039,David Lloyd (Manchester Trafford City),Outdoor tennis courts,Registered Membership use,4,Barton Embankment,Manchester,M17 8RH,0161 749 2000,manchester@davidlloyd.co.uk,http://www.davidlloyd.co.uk,Yes,No,Yes,Yes,359,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001260,E01006121,E00030982,-2.359969,53.46994,2025-04-02
1001039,David Lloyd (Manchester Trafford City),Sports halls,Registered Membership use,1,Barton Embankment,Manchester,M17 8RH,0161 749 2000,manchester@davidlloyd.co.uk,http://www.davidlloyd.co.uk,Yes,No,Yes,Yes,359,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001260,E01006121,E00030982,-2.359969,53.46994,2025-04-02
1001039,David Lloyd (Manchester Trafford City),Squash courts,Registered Membership use,3,Barton Embankment,Manchester,M17 8RH,0161 749 2000,manchester@davidlloyd.co.uk,http://www.davidlloyd.co.uk,Yes,No,Yes,Yes,359,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001260,E01006121,E00030982,-2.359969,53.46994,2025-04-02
1001039,David Lloyd (Manchester Trafford City),Studios,Registered Membership use,0,Barton Embankment,Manchester,M17 8RH,0161 749 2000,manchester@davidlloyd.co.uk,http://www.davidlloyd.co.uk,Yes,No,Yes,Yes,359,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001260,E01006121,E00030982,-2.359969,53.46994,2025-04-02
1001039,David Lloyd (Manchester Trafford City),Swimming pools,Registered Membership use,4,Barton Embankment,Manchester,M17 8RH,0161 749 2000,manchester@davidlloyd.co.uk,http://www.davidlloyd.co.uk,Yes,No,Yes,Yes,359,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001260,E01006121,E00030982,-2.359969,53.46994,2025-04-02
1043162,Davyhulme Park,Outdoor tennis courts,Free Public Access,3,Canterbury Road,Manchester,M41 0RX,NA,NA,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/parks-and-open-spaces/Parks-in-Trafford.aspx?Id=56899990-03ea-4c29-8dd2-b7dbc26aecaa,No,No,No,No,0,No,No,No,Yes,No,No,No,No,No,No,NA,E05015259,Urmston,E02001260,E01006117,E00031006,-2.35121,53.45405,2025-01-10
1101378,Davyhulme Park Golf Club,Golf,Pay and Play,1,Gleneagles Road,Manchester,M41 8SA,0161 748 2260,info@davyhulmeparkgolfclub.co.uk,https://www.davyhulmeparkgolfclub.co.uk/,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015245,Davyhulme,E02001263,E01006124,E00031020,-2.383358,53.45561,2025-01-14
6017753,Davyhulme Primary School,Grass pitches,Private Use,4,Canterbury Road,Manchester,M41 0RX,0161 748 3392,office@davyhulmeprimary.com,http://www.davyhulmeprimary.com,Yes,Yes,Yes,Yes,20,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,NA,E05015259,Urmston,E02001260,E01006117,E00031006,-2.350367,53.45428,2025-02-04
1101379,Dunham Forest Golf And Country Club,Golf,Pay and Play,1,Oldfield Lane,Altrincham,WA14 4TY,0161 928 2605,club@dunhamforest.com,http://www.dunhamforest.com,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Portable Ramp, Parking: 2 Bays, Lift",E05015241,Bowdon,E02001283,E01006074,E00030780,-2.378895,53.38736,2025-01-29
1203088,Egerton High School,Grass pitches,Private Use,2,Kingsway Park,Manchester,M41 7FZ,0161 749 7094,admin@egerton-school.trafford.sch.uk,https://www.egertonhighschool.co.uk/,No,No,No,Yes,30,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,NA,E05015251,Lostock & Barton,E02001260,E01006121,E00030979,-2.343423,53.45965,2025-01-27
1203088,Egerton High School,Sports halls,Private Use,1,Kingsway Park,Manchester,M41 7FZ,0161 749 7094,admin@egerton-school.trafford.sch.uk,https://www.egertonhighschool.co.uk/,No,No,No,Yes,30,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,NA,E05015251,Lostock & Barton,E02001260,E01006121,E00030979,-2.343423,53.45965,2025-01-27
30004118,Elmridge Primary School,Grass pitches,Private Use,1,Wilton Drive,Altrincham,WA15 0JF,0161 980 4941,admin@eps.bright-futures.co.uk,https://elmridge.bright-futures.co.uk/,Yes,Yes,Yes,Yes,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006136,E00031104,-2.310756,53.36698,2025-01-21
30004118,Elmridge Primary School,Sports halls,Private Use,1,Wilton Drive,Altrincham,WA15 0JF,0161 980 4941,admin@eps.bright-futures.co.uk,https://elmridge.bright-futures.co.uk/,Yes,Yes,Yes,Yes,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006136,E00031104,-2.310756,53.36698,2025-01-21
1208755,Emirates Old Trafford Cricket Ground,Grass pitches,Private Use,1,Brian Statham Way,Manchester,M16 0PX,0161 282 4020,enquiries@lccc.co.uk,https://www.lancashirecricket.co.uk/,No,Yes,Yes,Yes,500,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015247,Gorse Hill & Cornbrook,E02001262,E01006145,E00031112,-2.287922,53.45714,2025-06-13
1008718,Everlast Gyms (Sale),Health and fitness gym stations,Registered Membership use,70,Washway Road,Sale,M33 7QY,0343 777 1133,manager.salefit@everlastgyms.com,https://www.everlastgyms.com/gyms/sale/,No,Yes,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015240,Ashton upon Mersey,E02001270,E01006150,E00031168,-2.326127,53.42533,2025-04-22
1008718,Everlast Gyms (Sale),Studios,Registered Membership use,0,Washway Road,Sale,M33 7QY,0343 777 1133,manager.salefit@everlastgyms.com,https://www.everlastgyms.com/gyms/sale/,No,Yes,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015240,Ashton upon Mersey,E02001270,E01006150,E00031168,-2.326127,53.42533,2025-04-22
1008718,Everlast Gyms (Sale),Swimming pools,Registered Membership use,1,Washway Road,Sale,M33 7QY,0343 777 1133,manager.salefit@everlastgyms.com,https://www.everlastgyms.com/gyms/sale/,No,Yes,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015240,Ashton upon Mersey,E02001270,E01006150,E00031168,-2.326127,53.42533,2025-04-22
6010830,Firs Primary School,Grass pitches,Private Use,3,Firs Road,Sale,M33 5EL,0161 973 7350,firs.admin@trafford.gov.uk,http://www.firsprimary.co.uk/,Yes,Yes,Yes,Yes,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015252,Manor,E02001274,E01006172,E00031273,-2.351001,53.42338,2025-09-12
6010830,Firs Primary School,Sports halls,Private Use,1,Firs Road,Sale,M33 5EL,0161 973 7350,firs.admin@trafford.gov.uk,http://www.firsprimary.co.uk/,Yes,Yes,Yes,Yes,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015252,Manor,E02001274,E01006172,E00031273,-2.351001,53.42338,2025-09-12
1042252,Fives Trafford,Artificial grass pitches,Pay and Play,8,Trafford Way,Manchester,M41 7JA,0161 441 4280,info@football5s.com,https://www.football5s.com/trafford/,No,No,Yes,Yes,300,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001260,E01006121,E00030982,-2.362873,53.46774,2024-12-09
1040932,Flixton Cricket And Sports Club,Grass pitches,Sports Club / Community Association,1,Lawrence Road,Manchester,M41 8UU,0161 748 2546,info@flixtoncricketandsportsclub.com,http://flixtoncricketandsportsclub.com/,No,Yes,Yes,Yes,74,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,NA,E05015245,Davyhulme,E02001265,E01006130,E00031058,-2.387693,53.45212,2024-09-24
1040932,Flixton Cricket And Sports Club,Outdoor tennis courts,Sports Club / Community Association,4,Lawrence Road,Manchester,M41 8UU,0161 748 2546,info@flixtoncricketandsportsclub.com,http://flixtoncricketandsportsclub.com/,No,Yes,Yes,Yes,74,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,NA,E05015245,Davyhulme,E02001265,E01006130,E00031058,-2.387693,53.45212,2024-09-24
1040932,Flixton Cricket And Sports Club,Sports halls,Sports Club / Community Association,1,Lawrence Road,Manchester,M41 8UU,0161 748 2546,info@flixtoncricketandsportsclub.com,http://flixtoncricketandsportsclub.com/,No,Yes,Yes,Yes,74,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,NA,E05015245,Davyhulme,E02001265,E01006130,E00031058,-2.387693,53.45212,2024-09-24
1201446,Flixton Girls School,Artificial grass pitches,Pay and Play,1,Flixton Road,Manchester,M41 5DR,0161 912 2949,flixtongirls@vantageacademies.co.uk,https://www.flixtongirls.com/about-fgs/community-hire/,No,Yes,No,Yes,75,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1x disabled parking bay available.,E05015246,Flixton,E02001268,E01006129,E00031044,-2.371093,53.4497,2024-11-06
1201446,Flixton Girls School,Grass pitches,Pay and Play,4,Flixton Road,Manchester,M41 5DR,0161 912 2949,flixtongirls@vantageacademies.co.uk,https://www.flixtongirls.com/about-fgs/community-hire/,No,Yes,No,Yes,75,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1x disabled parking bay available.,E05015246,Flixton,E02001268,E01006129,E00031044,-2.371093,53.4497,2024-11-06
1201446,Flixton Girls School,Sports halls,Pay and Play,1,Flixton Road,Manchester,M41 5DR,0161 912 2949,flixtongirls@vantageacademies.co.uk,https://www.flixtongirls.com/about-fgs/community-hire/,No,Yes,No,Yes,75,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1x disabled parking bay available.,E05015246,Flixton,E02001268,E01006129,E00031044,-2.371093,53.4497,2024-11-06
1201446,Flixton Girls School,Studios,Pay and Play,0,Flixton Road,Manchester,M41 5DR,0161 912 2949,flixtongirls@vantageacademies.co.uk,https://www.flixtongirls.com/about-fgs/community-hire/,No,Yes,No,Yes,75,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1x disabled parking bay available.,E05015246,Flixton,E02001268,E01006129,E00031044,-2.371093,53.4497,2024-11-06
1101380,Flixton Golf Club,Golf,Pay and Play,1,Church Road,Manchester,M41 6EP,0161 748 2116,flixtongolfclub@mail.com,http://www.flixtongolfclub.co.uk,No,No,No,Yes,70,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015246,Flixton,E02001268,E01006133,E00031051,-2.376756,53.44135,2025-03-05
6005721,Flixton Park,Grass pitches,Pay and Play,2,Flixton Road,Manchester,M41 5DR,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,Yes,11,No,Yes,No,Yes,No,No,No,No,No,No,NA,E05015246,Flixton,E02001263,E01006131,E00031067,-2.383525,53.44558,2025-05-20
6005721,Flixton Park,Grass pitches,Sports Club / Community Association,6,Flixton Road,Manchester,M41 5DR,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,Yes,11,No,Yes,No,Yes,No,No,No,No,No,No,NA,E05015246,Flixton,E02001263,E01006131,E00031067,-2.383525,53.44558,2025-05-20
1047615,Fusion Fitness Urmston,Health and fitness gym stations,Registered Membership use,40,Flixton Road,Manchester,M41 5AS,07464393089,info@fusionfitnessgym.co.uk,https://fusionfitnessgym.co.uk/,No,No,Yes,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ground Floor,E05015259,Urmston,E02001267,E01006198,E00031438,-2.354015,53.4487,2024-11-18
1047615,Fusion Fitness Urmston,Studios,Registered Membership use,0,Flixton Road,Manchester,M41 5AS,07464393089,info@fusionfitnessgym.co.uk,https://fusionfitnessgym.co.uk/,No,No,Yes,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ground Floor,E05015259,Urmston,E02001267,E01006198,E00031438,-2.354015,53.4487,2024-11-18
1042406,Grange Road Playing Field,Grass pitches,Sports Club / Community Association,2,Convent Of Our Lady Of The Vale Access Road,Bowdon,WA14 3EZ,00000 000000,NA,NA,No,No,No,No,0,No,No,No,Yes,No,No,No,No,No,No,NA,E05015241,Bowdon,E02001285,E01006086,E00030816,-2.35434,53.37128,2025-04-16
6006155,Grove Park Playing Fields,Grass pitches,Sports Club / Community Association,6,Long Hey,Hale,WA15 8JJ,NA,altyjfcweb@gmail.com,https://www.altrinchamjfc.co.uk/,No,No,No,Yes,5,No,Yes,No,Yes,No,No,No,No,No,No,NA,E05015248,Hale,E02001284,E01006140,E00031083,-2.326415,53.38113,2025-05-20
1208718,Hale Barns Cricket Club,Grass pitches,Sports Club / Community Association,1,Brooks Drive,Altrincham,WA15 8TN,NA,halebarnscc@gmail.com,http://www.halebarnscc.co.uk,No,No,No,Yes,30,No,No,No,Yes,Yes,No,Yes,Yes,No,No,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006136,E00031073,-2.301127,53.36748,2025-02-19
1043816,Hale Barns Tennis Club,Outdoor tennis courts,Sports Club / Community Association,5,Chapel Lane,Altrincham,WA15 0AQ,NA,tennisclubhalebarns@gmail.com,https://www.halebarnstennisclub.com/,No,No,No,Yes,20,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006136,E00031101,-2.314639,53.36609,2025-04-09
1043816,Hale Barns Tennis Club,Sports halls,Sports Club / Community Association,1,Chapel Lane,Altrincham,WA15 0AQ,NA,tennisclubhalebarns@gmail.com,https://www.halebarnstennisclub.com/,No,No,No,Yes,20,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006136,E00031101,-2.314639,53.36609,2025-04-09
1037888,Hale Country Club And Spa,Health and fitness gym stations,Registered Membership use,200,Clay Lane,Altrincham,WA15 7AF,0161 904 5939,enquiries@halecountryclub.co.uk,http://www.halecountryclub.co.uk,Yes,Yes,Yes,Yes,200,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001281,E01006209,E00031477,-2.312006,53.3877,2024-10-30
1037888,Hale Country Club And Spa,Outdoor tennis courts,Registered Membership use,3,Clay Lane,Altrincham,WA15 7AF,0161 904 5939,enquiries@halecountryclub.co.uk,http://www.halecountryclub.co.uk,Yes,Yes,Yes,Yes,200,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001281,E01006209,E00031477,-2.312006,53.3877,2024-10-30
1037888,Hale Country Club And Spa,Studios,Registered Membership use,0,Clay Lane,Altrincham,WA15 7AF,0161 904 5939,enquiries@halecountryclub.co.uk,http://www.halecountryclub.co.uk,Yes,Yes,Yes,Yes,200,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001281,E01006209,E00031477,-2.312006,53.3877,2024-10-30
1037888,Hale Country Club And Spa,Swimming pools,Registered Membership use,2,Clay Lane,Altrincham,WA15 7AF,0161 904 5939,enquiries@halecountryclub.co.uk,http://www.halecountryclub.co.uk,Yes,Yes,Yes,Yes,200,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001281,E01006209,E00031477,-2.312006,53.3877,2024-10-30
1101381,Hale Golf Club,Golf,Private Use,1,Rappax Road,Altrincham,WA15 0NU,0161 980 4225,secretary@halegolfclub.com,https://www.halegolfclub.com/,No,No,No,Yes,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006134,E00031103,-2.331965,53.36559,2025-01-20
30006997,Hale Lawn Tennis Club,Outdoor tennis courts,Registered Membership use,10,Park Avenue,Altrincham,WA15 9DL,0161 980 3855,tennishaleltc@gmail.com,https://clubspark.lta.org.uk/HaleLawnTennisClub,No,No,Yes,Yes,6,Yes,Yes,No,No,No,No,No,No,Yes,No,NA,E05015248,Hale,E02001284,E01006083,E00030837,-2.333573,53.37514,2025-01-23
30007297,Hale Village Tennis Club,Outdoor tennis courts,Registered Membership use,3,Leigh Road,Hale,WA15 9BJ,00000 000000,halevillage.tennis@gmail.com,https://clubspark.lta.org.uk/halevillageltc,No,No,No,No,0,No,No,No,Yes,No,No,No,No,No,No,NA,E05015248,Hale,E02001284,E01006083,E00030836,-2.343515,53.3778,2024-10-14
6006197,Halecroft Park,Grass pitches,Sports Club / Community Association,2,Hale Road,Altrincham,WA15 8SN,0161 912 2000,NA,https://traffordleisure.co.uk/,No,No,No,Yes,14,No,Yes,No,Yes,No,No,No,No,No,No,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006135,E00031098,-2.31843,53.37256,2025-04-25
6006197,Halecroft Park,Outdoor tennis courts,Free Public Access,1,Hale Road,Altrincham,WA15 8SN,0161 912 2000,NA,https://traffordleisure.co.uk/,No,No,No,Yes,14,No,Yes,No,Yes,No,No,No,No,No,No,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006135,E00031098,-2.31843,53.37256,2025-04-25
1044482,Heyes Grove Tennis Club,Outdoor tennis courts,Sports Club / Community Association,6,Heyes Lane,Altrincham,WA15 6PG,0161 980 8932,enquiries@heyesgrovetennis.com,https://clubspark.lta.org.uk/HeyesGroveTennisClub,No,No,No,Yes,30,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,NA,E05015257,Timperley Central,E02001279,E01006190,E00031399,-2.323696,53.39943,2025-05-23
1044482,Heyes Grove Tennis Club,Sports halls,Sports Club / Community Association,1,Heyes Lane,Altrincham,WA15 6PG,0161 980 8932,enquiries@heyesgrovetennis.com,https://clubspark.lta.org.uk/HeyesGroveTennisClub,No,No,No,Yes,30,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,NA,E05015257,Timperley Central,E02001279,E01006190,E00031399,-2.323696,53.39943,2025-05-23
6010598,Heyes Lane Junior School,Grass pitches,Private Use,2,Crofton Avenue,Altrincham,WA15 6BZ,0161 973 9850,office@heyeslane.co.uk,https://www.heyeslane.co.uk/,Yes,Yes,Yes,Yes,40,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015258,Timperley North,E02001279,E01006196,E00031378,-2.324265,53.40611,2025-06-16
1040637,Highfield Park (Stretford),Grass pitches,Sports Club / Community Association,4,Highfield Close,Stretford,M32 8NE,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,Yes,No,Yes,No,No,No,No,No,No,NA,E05015250,Longford,E02001269,E01006144,E00031136,-2.311381,53.43996,2025-05-20
30005966,Holy Family Catholic Primary School,Grass pitches,Private Use,1,Old Hall Road,Sale,M33 2JA,0161 962 5397,holyfamily.admin@trafford.gov.uk,https://www.holyfamilysalemoor.co.uk/,No,No,No,Yes,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015255,Sale Moor,E02001272,E01006178,E00031304,-2.299145,53.42107,2025-09-11
6011129,Jacksons Boat Sports Ground,Grass pitches,Sports Club / Community Association,1,Rifle Road,Sale,M33 2LX,0161 905 2647,NA,NA,No,No,Yes,Yes,100,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,NA,E05015254,Sale Central,E02001272,E01006164,E00031241,-2.288429,53.43017,2025-03-28
1043165,John Leigh Park,Outdoor tennis courts,Free Public Access,3,The Mount,Altrincham,WA14 4DX,NA,NA,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/parks-and-open-spaces/Parks-in-Trafford.aspx?Id=1811a239-de6a-4989-9b98-df64ee759a07,No,No,No,No,0,No,No,No,Yes,No,No,No,No,No,No,NA,E05015239,Altrincham,E02001283,E01006075,E00030808,-2.355018,53.39182,2025-01-10
30009481,Kings Road Primary School,Grass pitches,Private Use,1,Kings Road,Manchester,M16 0GR,0161 881 3571,kingsroad.admin@trafford.gov.uk,https://www.kingsroadschool.com/,Yes,No,Yes,Yes,45,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,NA,E05015250,Longford,E02001262,E01006145,E00031118,-2.279923,53.45447,2024-08-02
6017868,Lees Field,Grass pitches,Sports Club / Community Association,7,Gleneagles Road,Manchester,M41 8SE,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,Yes,18,No,Yes,No,Yes,No,No,Yes,Yes,No,No,NA,E05015245,Davyhulme,E02001263,E01006124,E00031013,-2.385381,53.45583,2025-05-20
6010660,Lime Tree Primary Academy,Grass pitches,Private Use,1,Budworth Road,Sale,M33 2RP,0161 905 0790,admin@ltpa.bright-futures.co.uk,https://limetree.bright-futures.co.uk/,Yes,No,Yes,Yes,24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015255,Sale Moor,E02001276,E01006173,E00031307,-2.299132,53.41706,2025-03-26
6010660,Lime Tree Primary Academy,Sports halls,Private Use,1,Budworth Road,Sale,M33 2RP,0161 905 0790,admin@ltpa.bright-futures.co.uk,https://limetree.bright-futures.co.uk/,Yes,No,Yes,Yes,24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015255,Sale Moor,E02001276,E01006173,E00031307,-2.299132,53.41706,2025-03-26
1043161,Longford Park (Stretford),Grass pitches,Free Public Access,3,Edge Lane,Manchester,M32 8QD,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,No,No,Yes,No,No,No,No,No,No,NA,E05015250,Longford,E02001269,E01006142,E00031108,-2.292938,53.44454,2025-07-09
1043161,Longford Park (Stretford),Outdoor tennis courts,Pay and Play,6,Edge Lane,Manchester,M32 8QD,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,No,No,Yes,No,No,No,No,No,No,NA,E05015250,Longford,E02001269,E01006142,E00031108,-2.292938,53.44454,2025-07-09
30008113,Longford Park Primary School,Artificial grass pitches,Private Use,1,Cromwell Road,Manchester,M32 8QJ,0161 532 3253,admin@longfordparkschool.co.uk,https://www.longfordparkschool.co.uk/,No,No,Yes,Yes,25,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,NA,E05015250,Longford,E02001269,E01006142,E00031128,-2.293976,53.44832,2025-06-02
30008113,Longford Park Primary School,Grass pitches,Private Use,1,Cromwell Road,Manchester,M32 8QJ,0161 532 3253,admin@longfordparkschool.co.uk,https://www.longfordparkschool.co.uk/,No,No,Yes,Yes,25,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,NA,E05015250,Longford,E02001269,E01006142,E00031128,-2.293976,53.44832,2025-06-02
1011329,Longford Park Stadium,Athletics,Sports Club / Community Association,1,Ryebank Road,Manchester,M21 9TA,NA,admin@traffordac.co.uk,http://www.traffordac.co.uk,No,No,Yes,Yes,300,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Parking: Designated bays, Finding/Reaching Entrance: Ramps, Reception Area: Lift",E05015250,Longford,E02001269,E01006142,E00031128,-2.289656,53.44631,2025-05-14
1011329,Longford Park Stadium,Health and fitness gym stations,Registered Membership use,20,Ryebank Road,Manchester,M21 9TA,NA,admin@traffordac.co.uk,http://www.traffordac.co.uk,No,No,Yes,Yes,300,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Parking: Designated bays, Finding/Reaching Entrance: Ramps, Reception Area: Lift",E05015250,Longford,E02001269,E01006142,E00031128,-2.289656,53.44631,2025-05-14
1201456,Loreto Grammar School,Sports halls,Private Use,2,Dunham Road,Altrincham,WA14 4AH,0161 928 3703,info@loretogrammar.co.uk,http://www.loretogrammar.co.uk,No,Yes,Yes,Yes,50,No,Yes,No,No,No,No,No,Yes,Yes,Yes,NA,E05015239,Altrincham,E02001283,E01006075,E00030782,-2.357252,53.38828,2024-08-02
1203099,Lostock College,Grass pitches,Private Use,4,Selby Road,Manchester,M32 9PL,0161 864 5700,school@lostock.trafford.sch.uk,http://www.lostock.trafford.sch.uk,No,No,Yes,Yes,120,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001264,E01006159,E00031190,-2.330955,53.45411,2025-07-17
1203099,Lostock College,Health and fitness gym stations,Private Use,16,Selby Road,Manchester,M32 9PL,0161 864 5700,school@lostock.trafford.sch.uk,http://www.lostock.trafford.sch.uk,No,No,Yes,Yes,120,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001264,E01006159,E00031190,-2.330955,53.45411,2025-07-17
